#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4582.904087261653    All      -0.9647602839152092        0.9593512321562692         0.40770743415250443       0.6449405324268311         
Zeropoint     AB|PS|PS_i                7049.252710685839    All      0.830755704261875          -0.1413934209791634        0.7240110520138732        -0.28435166485835106       
Zeropoint     AB|PS|PS_r                5819.977076176768    All      0.8045464441282035         0.23900881252361117        -1.5177021632142518       -0.25194228923939577       
Zeropoint     AB|PS|PS_z                8101.311430352349    All      0.3287006475939057         -0.05877058947776348       0.38902575547334894       -0.10885169660319882       
Check         All|All|All               All                  All      0.9992425120687751         0.9981960342229534         0.00304207842547477       -0.000205118274114513      
Lambda        AB|PS|PS_g                4582.904087261653    All      -7.204213309553039e-06     -0.00018348504268311623    -0.0009889283639527822    -0.00010155179649351607    
Lambda        AB|PS|PS_i                7049.252710685839    All      -0.0006475506031298142     6.736339569463714e-05      -0.0009168062371479946    0.000191958157763901       
Lambda        AB|PS|PS_r                5819.977076176768    All      -0.00033942485221841575    -8.882536050394885e-05     -0.0005438824301061826    5.735752403580452e-05      
Lambda        AB|PS|PS_z                8101.311430352349    All      7.367732688236806e-05      -1.105806639962222e-05     0.00012303384278772363    -2.2110669973964866e-05    
MWEBV         All|All|All               All                  All      -0.6296899862205825        -3.832731483497831         0.17492463128083724       -1.0355299097041608        
Redshift      All|All|All               All                  All      5.983717023820466          1.4048733766967025         8.428008395091258         -1.1153767091193034        
