#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3737.8213279548486    All      -2.7047392232928136       0.12254243592266789       -1.0145170234358587       0.8756654159624655       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4476.044736011229     All      3.694561963566894         0.8781364013451309        1.031361820224792         -0.8713775221012919      
Check         All|All|All                            All                   All      0.9898227402740799        1.0006788372677988        0.01684479678893336       0.004287893861173564     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3737.8213279548486    All      -0.0020948230694471065    0.00014817647318693814    -0.004248979965643334     0.0005410062825214684    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4476.044736011229     All      -0.0011824299052924547    -0.0002789305601494628    -0.0002673942937480565    0.0002823668817262242    
MWEBV         All|All|All                            All                   All      -0.2895316407336084       -1.8204860911946952       0.13265249848337585       -0.4927625596641252      
Redshift      All|All|All                            All                   All      11.035735127583722        1.7157575357604316        4.257888538148561         -2.845813310129296       
