#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3737.8213279548486    All      -2.7314156575568886      0.21755558939631214       2.542111388100299          1.0740197091605674         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4476.044736011229     All      3.7175142998147335       0.7832401177100934        -2.5654739350716937        -1.070274954791356         
Check         All|All|All                            All                   All      0.986098642257845        1.0007957071064055        -0.02336254697139495       0.0037447543692115115      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3737.8213279548486    All      -0.003783267392743082    0.00019469152784676416    -0.00013851326888520693    0.0012895708803754308      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4476.044736011229     All      0.0005756732624074749    0.00012848117204187308    -0.0062314304056742455     -0.00042374529509543117    
MWEBV         All|All|All                            All                   All      -0.22871520325045824     -1.823772718816663        -0.2644828647981434        -0.531365364183567         
Redshift      All|All|All                            All                   All      12.790571834733234       0.9123449905668934        -2.0777362004789524        -3.961849089130931         
