#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_g                      4722.684904036082    All      -0.5527782302480586        0.5262011743679906        -0.01364182059517579       0.35085031765293495       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4374.847820746427    All      -0.8025417227274172        0.4993105702228995        -0.14215403760288237       0.41771243967385074       
Zeropoint     AB|CNIa02|SDSS_r                      6171.137354318555    All      1.1633270962370479         -0.13722142523100445      0.01756485635467733        -0.4228476013509647       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5473.164788687681    All      0.7936104498012715         0.18206193612937405       0.05528748106055907        -0.19673424389791558      
Zeropoint     AB|CNIa02|SDSS_i                      7483.582647071235    All      0.3975623863751109         -0.07317098045023229      0.08388479254127558        -0.14958995122058255      
Check         All|All|All                           All                  All      0.9991799794379544         0.9971812750390274        0.000941271758453821       -0.0006090391426771535    
Lambda        AB|CNIa02|SDSS_g                      4722.684904036082    All      -0.00029622144184011684    0.00016204936833760596    -0.0005244439345722707     0.00012587035542062597    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4374.847820746427    All      -0.0002622085658269049     7.12233798333511e-05      -0.00041708741158927575    8.999705872069226e-05     
Lambda        AB|CNIa02|SDSS_r                      6171.137354318555    All      -0.00012115442795583555    -6.415987476863757e-05    -0.0005995367445883506     -8.189570300132272e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5473.164788687681    All      7.878407178411729e-05      -9.912997852694587e-05    -0.0008882876071713414     -9.759265553535405e-05    
Lambda        AB|CNIa02|SDSS_i                      7483.582647071235    All      -4.806103786252577e-05     -1.231448029870069e-05    -0.00014732442011608594    5.069417592156777e-06     
MWEBV         All|All|All                           All                  All      -0.9143320252262845        -4.103010010391506        0.012000588651745902       -1.0381217930032351       
Redshift      All|All|All                           All                  All      5.732606578926322          -0.4768354226879268       2.247055967355768          -1.9223437570314361       
