#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4722.684904036082    All      -0.35202453580278137       0.3128052476156995         -0.12060157369169211       0.21117503837873586        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4374.847820746427    All      -0.9191942593153002        0.6453433218174709         -0.11903794835390613       0.5043092450189857         
Zeropoint     AB|CNIa02|SDSS_r                      6171.137354318555    All      1.1739084873634524         -0.13910735405335828       0.17770633504166078        -0.4197622389303268        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5473.164788687681    All      0.6384863812296095         0.2617129662313644         -0.09201959328848375       -0.1268339085598591        
Zeropoint     AB|CNIa02|SDSS_i                      7483.582647071235    All      0.43342775218846746        -0.09267083358999173       0.13493174819392273        -0.16534623331462273       
Check         All|All|All                           All                  All      0.9746038256634479         0.9880833480211848         -0.01902103209849848       0.003541902592912871       
Lambda        AB|CNIa02|SDSS_g                      4722.684904036082    All      -0.00024077326401172354    0.00020654755077900396     -0.00027323495439632555    0.00013351388470307196     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4374.847820746427    All      -0.0004194612693799798     0.00019393520473582034     -0.00045374244947236024    0.00017955497020784585     
Lambda        AB|CNIa02|SDSS_r                      6171.137354318555    All      0.00025173337576643676     -4.633770363551114e-05     -3.6839798212741094e-05    -9.873554780361349e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5473.164788687681    All      0.0001254238759222553      -7.006989367985722e-07     -0.0006594714010839315     -7.05121031946425e-05      
Lambda        AB|CNIa02|SDSS_i                      7483.582647071235    All      -1.893109297017349e-05     -1.4287540565711067e-05    -8.762374351689983e-05     -2.3976874453918108e-06    
MWEBV         All|All|All                           All                  All      -0.9070611347639428        -4.1081828950028765        0.017504317351013654       -1.0419295337986467        
Redshift      All|All|All                           All                  All      5.0469065370237995         -1.6777106619334958        2.71764143239821           -2.0691531995826518        
