#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4731.63165855884      All      -0.18572098032574896      0.32931001662692694        0.693625644418464         0.19871586652703763       
Zeropoint     AB|PS|PS_i                5731.030699690298     All      0.9064061943005943        0.005516616036160826       -0.6640587869507775       -0.32308326777742347      
Zeropoint     AB|PS|PS_g                3725.8933812967703    All      -0.6591057778905247       0.5132251719789593         -0.29116222731985053      0.3688735259695976        
Zeropoint     AB|PS|PS_z                6586.352684550595     All      0.9280218536169664        0.1617641309845652         0.2366207718965462        -0.23903605110181578      
Check         All|All|All               All                   All      0.9896012897012869        1.0098159356266123         -0.024974597955617822     0.005470073617395987      
Lambda        AB|PS|PS_r                4731.63165855884      All      -9.720245762424713e-05    3.218565614934101e-05      -0.0003076259321687528    2.8418032920673943e-05    
Lambda        AB|PS|PS_i                5731.030699690298     All      -0.0006329787450639222    0.0001486238492671945      -0.0008251809044567282    0.0002177696450881254     
Lambda        AB|PS|PS_g                3725.8933812967703    All      -0.0013321818750402687    0.0010065595399309298      -0.000608917196035901     0.0007346318433597005     
Lambda        AB|PS|PS_z                6586.352684550595     All      -0.0006257581885325579    -0.00033756396918066577    -0.000769150916324353     5.955066573793346e-05     
MWEBV         All|All|All               All                   All      -0.44777723749649434      -2.8464631771981885        -0.012383871543801247     -0.7818835602942005       
Redshift      All|All|All               All                   All      8.199049597795073         -2.9020538060994028        8.810288530911048         -3.222831881159499        
