#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4731.63165855884      All      -0.11277869123472628      0.3158880927310648         0.26048170943218096       0.15125497659869702       
Zeropoint     AB|PS|PS_i                5731.030699690298     All      0.8674616016019742        0.18378545019075432        -0.5976165248962939       -0.24936469554462937      
Zeropoint     AB|PS|PS_g                3725.8933812967703    All      -0.5168385332535939       0.3078120760179104         -0.06914592619660098      0.2655301685285244        
Zeropoint     AB|PS|PS_z                6586.352684550595     All      0.7586715003956133        0.1907653139312515         0.40735248221404063       -0.16680745811108733      
Check         All|All|All               All                   All      0.9965158775092672        0.998250932870981          0.0010717405533267055     0.0006129914715047313     
Lambda        AB|PS|PS_r                4731.63165855884      All      -3.510380606316341e-05    -4.025555404583025e-06     -0.0004789919248591457    -1.125200099254807e-05    
Lambda        AB|PS|PS_i                5731.030699690298     All      -0.0007870791160625895    0.00010132264199601039     0.0008928272458458709     0.000329224459524262      
Lambda        AB|PS|PS_g                3725.8933812967703    All      -0.000482694713848447     -7.216040204653574e-05     -3.276408638849458e-05    0.00013226242083605458    
Lambda        AB|PS|PS_z                6586.352684550595     All      -0.0005336000114891069    -0.00024405270494362146    -0.000269577860797162     8.22850617642587e-05      
MWEBV         All|All|All               All                   All      -0.5206253795863867       -2.754158454728284         -0.014170958008463685     -0.7281675884003441       
Redshift      All|All|All               All                   All      3.2133391052767304        1.061057033467705          -3.7923924385661945       -0.8703061354699004       
