#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7054.974720256931    All      0.9449405228278132        -0.2244420454375451        0.6930461298646773         -0.34997890829768646       
Zeropoint     AB|PS|PS_g                4586.624115770627    All      -0.9732176845604472       1.0256969937353588         0.9252345621082264         0.6924012421187731         
Zeropoint     AB|PS|PS_z                8107.887415558923    All      0.3905637609000415        -0.11440434351523976       0.5905921689677684         -0.13812930855592737       
Zeropoint     AB|PS|PS_r                5824.701259845618    All      0.6557740053530561        0.2980582913872709         -2.2362444623258746        -0.2163130961903681        
Check         All|All|All               All                  All      1.0180606045204634        0.9849088961698449         -0.02737160138520256       -0.012020070925208848      
Lambda        AB|PS|PS_i                7054.974720256931    All      -0.0006525662668489472    9.712960820535066e-05      -0.0011331350498320618     0.00019363399779391053     
Lambda        AB|PS|PS_g                4586.624115770627    All      -0.0002329107693768243    9.852738019641093e-05      -0.00045926460172488484    8.74654394582821e-05       
Lambda        AB|PS|PS_z                8107.887415558923    All      0.0001351692130561236     -1.2145165173146902e-05    0.00047679772198147184     -2.6707847009058262e-05    
Lambda        AB|PS|PS_r                5824.701259845618    All      -7.261681889522494e-05    -6.536429998463561e-05     -0.0006706436103114477     -2.7565360163543654e-05    
MWEBV         All|All|All               All                  All      -0.615632937666668        -3.8624860978350384        0.22783511665915857        -1.0474396577153309        
Redshift      All|All|All               All                  All      5.267549261705223         -0.3603040045640604        7.603428988742191          -1.4938708452155058        
