#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7054.974720256931    All      0.8863501527396129         -0.192548681401572         0.8338084771559048        -0.3142238022054808       
Zeropoint     AB|PS|PS_g                4586.624115770627    All      -0.9585241890560843        0.9720026458362341         0.8361257283833322        0.6661485536419658        
Zeropoint     AB|PS|PS_z                8107.887415558923    All      0.3908753680717775         -0.11171701125887168       0.715105565559138         -0.13179899571630205      
Zeropoint     AB|PS|PS_r                5824.701259845618    All      0.6794726727750485         0.3299780767799021         -2.3906905109483          -0.22052742540555817      
Check         All|All|All               All                  All      0.9981740045303548         0.9977150299556925         -0.005650739849925035     -0.0004016696853752222    
Lambda        AB|PS|PS_i                7054.974720256931    All      -0.0006890870632858524     0.00012223978903582185     -0.001391685108272707     0.00020217133305808254    
Lambda        AB|PS|PS_g                4586.624115770627    All      -0.00014430191445904817    -1.9635046576854553e-05    -0.0007334863557802429    7.875973009869818e-06     
Lambda        AB|PS|PS_z                8107.887415558923    All      0.00010383854255565858     -1.5850236912797152e-05    0.00042413561331038465    -2.005934867913128e-05    
Lambda        AB|PS|PS_r                5824.701259845618    All      -0.00018303761813841542    -5.008554467492883e-05     -0.0006428975975558007    1.461729726330355e-05     
MWEBV         All|All|All               All                  All      -0.6220184969380744        -3.85455064313458          0.25617803591215316       -1.0415100180053878       
Redshift      All|All|All               All                  All      5.720378550413706          -0.009390468002390406      9.768050819036514         -1.4304710280808124       
