#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7417.082459886802     All      2.3389051726290866        -1.6543983628814374        0.9717172228888092        -1.2573870605780968        
Zeropoint     AB|CNIa02|SDSS_r                      6116.299743971104     All      0.39428011311235867       0.3481687082238949         -1.1641341089095105       -0.06696996019839307       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5424.5294625205515    All      -1.7359668918797566       2.3108682414138215         0.19692701216733333       1.3269752879350172         
Check         All|All|All                           All                   All      0.9972183938616888        1.004638586756279          0.004510126146632043      0.00261826715852731        
Lambda        AB|CNIa02|SDSS_i                      7417.082459886802     All      0.0002359909550014831     -0.00010080066592343347    -0.0006665908682782846    -0.00013945099996059987    
Lambda        AB|CNIa02|SDSS_r                      6116.299743971104     All      0.0007928938478841048     -0.00017103853842253395    -0.0029764927306295884    -0.00044681169068498124    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5424.5294625205515    All      -0.0019337236543231127    0.002570951053718268       0.0006935538686134564     0.001498270875583526       
MWEBV         All|All|All                           All                   All      -0.581908346247697        -4.299405572849935         0.17261820714253653       -1.2032079909523485        
Redshift      All|All|All                           All                   All      9.524067077622014         -12.629784576386882        9.974828488719295         -6.771107541060051         
