#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7417.082459886802     All      1.2743503025990197         -0.6422152338967813      0.3734090689484355        -0.6076249166286206       
Zeropoint     AB|CNIa02|SDSS_r                      6116.299743971104     All      1.8342137190333918         -0.7124867000678492      -0.42562459288188176      -0.8485377812137          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5424.5294625205515    All      -2.102267827550819         2.350508902578241        0.05498661074319932       1.452869672899309         
Check         All|All|All                           All                   All      1.006296194081593          0.9958069686136106       0.002771086809753069      -0.0032930249430118685    
Lambda        AB|CNIa02|SDSS_i                      7417.082459886802     All      -0.00014988363293770503    9.973447185368673e-05    -0.0003475607663743769    6.579878820785086e-05     
Lambda        AB|CNIa02|SDSS_r                      6116.299743971104     All      -5.9463457491996e-05       2.065775304476166e-05    -0.0013360764564096838    -3.352484169099969e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5424.5294625205515    All      -0.0005484625417086675     0.000426385365805123     -0.0007194226856666038    0.0002854355047483602     
MWEBV         All|All|All                           All                   All      -0.7611533419674377        -4.141320208589594       0.05499200427946419       -1.0985775120638013       
Redshift      All|All|All                           All                   All      10.485653269567667         -4.615160197338319       5.87371310661798          -4.656714909218021        
