#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4372.979447791582    All      -0.5743593483173084        0.5482019548548323         0.4544193491219817         0.38593379609180856        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5390.011749994786    All      0.26499528957875484        0.29627231344608873        0.07626647713150358        0.013591378252231223       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6394.771937189837    All      0.6567327647735618         -0.0884505420815529        0.09976847865031946        -0.23827850986319898       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6548.663549793448    All      0.32121324922406463        -0.026436685830066864      0.24413344048093144        -0.10234646700594263       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4398.806495406975    All      -0.15579973923640514       0.06296350042021004        -0.3587477312992471        0.05524912067381704        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7856.353217272815    All      0.12118013377701561        -0.018883146435033638      0.12903960678571913        -0.03986477331674454       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4387.888546053773    All      -0.22090870564127635       0.19325630569451135        0.08293171653814824        0.13860803143371792        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5387.343989144378    All      0.0810251104957832         0.12370585958194624        -0.07786292151101826       0.010427859556727537       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8184.234345016499    All      0.07802248411093812        -0.013917549046738031      0.07395202688336155        -0.02664775422627219       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5356.750222236683    All      -0.01284447987751805       0.020781393367652612       -0.687866034559903         -0.019743248693659954      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7907.055486526496    All      0.2058523251478513         -0.050438546764830505      0.07303840346120083        -0.08022300020797957       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6337.21107982823     All      0.21029856856534407        -0.04685001735769134       -0.13352325894624428       -0.08972028416894817       
Check         All|All|All                                      All                  All      0.9754076526008055         1.000204839849328          -0.024450447263246744      0.006986148525556235       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4372.979447791582    All      -0.0006073947624794738     0.0005053853155155894      -2.915109564928269e-05     0.00036116820126746307     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5390.011749994786    All      0.00013272103177898903     0.00019963958446761408     -0.0005065036237806746     -8.053562766538732e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6394.771937189837    All      -2.1677450704380775e-05    -7.270773897662172e-05     -0.0006636103007371478     -4.623612360691537e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6548.663549793448    All      6.7763202483988166e-06     -4.827048598107038e-06     -2.1777441791465717e-05    -4.751426179783928e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4398.806495406975    All      -0.0002712774116604699     0.0001098046760432136      -0.0006336275654481665     9.58550850935781e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7856.353217272815    All      3.9228014435680906e-05     -3.4765930725807916e-06    6.691714963543196e-05      -1.0924090556419387e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4387.888546053773    All      -0.000216548992557662      0.0001736338078074121      -3.2213294025824336e-05    0.00012565784334968606     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5387.343989144378    All      5.441059328368548e-05      9.479251366370206e-05      -4.185647120103106e-05     1.12858579236076e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8184.234345016499    All      1.3810642586857736e-05     -2.093097393829642e-06     1.555677568174856e-05      -4.486143880224047e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5356.750222236683    All      -5.024870543052662e-05     2.9757911270350032e-05     -0.0008279608684967714     -1.0887303675303277e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7907.055486526496    All      8.703411610112351e-05      -6.946917217332215e-06     0.00016062851839550134     -2.344460140008861e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6337.21107982823     All      3.190467985665386e-05      -8.983827393079147e-06     -5.456599837398528e-05     -1.5753761898035503e-05    
MWEBV         All|All|All                                      All                  All      -0.8067764611454189        -4.10488518933132          0.07226718870305682        -1.071077564603773         
Redshift      All|All|All                                      All                  All      2.2328122161158284         -2.3342019515472323        -0.7041928941777353        -1.5190516593372672        
