#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4372.979447791582    All      -0.6242137502292153        0.5185105932514311         0.1978995270172066         0.3810542601570045         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5390.011749994786    All      0.2729210209982152         0.28457256295273403        0.20300315310095443        0.012854388902068279       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6394.771937189837    All      0.5946166267857286         -0.09625341011521016       -0.11487069389307875       -0.2301652514541663        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6548.663549793448    All      0.3400625220659809         -0.028832487823660102      0.16229642104728906        -0.11291869713555779       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4398.806495406975    All      -0.18051836682414998       0.09007289087339387        -0.2628403721915896        0.07641111619130166        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7856.353217272815    All      0.11241127672169293        -0.021830878160766787      0.054885438455003904       -0.04127780124238573       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4387.888546053773    All      -0.25956130880695827       0.19847945779778442        -0.010718056056213085      0.14872064916125133        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5387.343989144378    All      0.10724449339495387        0.13820984675723125        0.035864187016069214       0.011686888268234163       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8184.234345016499    All      0.08871747184930887        -0.01852188812394573       0.04368035397996413        -0.03298213403192166       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5356.750222236683    All      0.04280272454211926        0.03176307712235982        -0.30226341185738653       -0.017084604183785473      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7907.055486526496    All      0.18857702749789876        -0.046917140650926115      0.028643871409184767       -0.0754299536696308        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6337.21107982823     All      0.31348655587749896        -0.05275008397562786       -0.03550957502018482       -0.12087995167130038       
Check         All|All|All                                      All                  All      0.9965462938730735         0.9965025399047978         7.084300721924702e-05      -1.1090708888161771e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4372.979447791582    All      -0.00039238552762765276    0.0001918252419571367      -0.0005746704632640542     0.00016465176420769187     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5390.011749994786    All      0.00010021829200069373     3.7550804828166526e-05     -0.0005234622596045196     -4.377257874213238e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6394.771937189837    All      -9.724858391135993e-05     -4.3647923248074336e-05    -0.00045138244535840045    -2.683626824369802e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6548.663549793448    All      -4.140461389517609e-05     2.2676271940344457e-06     -3.3865526536042694e-05    1.2714222786245175e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4398.806495406975    All      -0.00021800474368363127    0.00010899934067941528     -0.00032023377342184237    9.22254258645779e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7856.353217272815    All      1.4366167829728648e-05     -1.4147502755640678e-06    1.9490068934681007e-05     -4.270611941772449e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4387.888546053773    All      -0.00013922447569292062    8.581756066725848e-05      -0.00011435349146429387    6.820052378813383e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5387.343989144378    All      5.059140634419006e-05      4.975741073875875e-05      3.766838241716261e-05      1.4093070963257237e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8184.234345016499    All      5.761583096830688e-06      -1.2299937119078057e-06    2.6948784122228267e-06     -2.1571265362423346e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5356.750222236683    All      4.6755595209457726e-05     3.131534535025867e-05      -0.00031389678483744317    -1.903716917978136e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7907.055486526496    All      3.429591947004304e-05      3.7681583058921626e-07     7.719964161450754e-05      -7.603502520607914e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6337.21107982823     All      2.633358544439474e-05      -4.841523594402655e-06     -5.2364432822843105e-06    -1.0388437058133663e-05    
MWEBV         All|All|All                                      All                  All      -0.8337183624752234        -4.094845190969387         0.03435007026831524        -1.0607234100545293        
Redshift      All|All|All                                      All                  All      3.2566555872583347         -0.14920720986961733       -1.784561617846387         -1.1890383513918263        
