#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4020.254947382934    All      -1.8971747735369728        0.4071159699115867        -4.443260618402315        0.5523009898134992        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4911.064912102373    All      1.5591434497616734         0.7921345373183897        10.412284228227648        0.21481238658759083       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5684.917205596945    All      1.335247691384562          -0.1996107830926519       -5.936598216248126        -0.764877013062934        
Check         All|All|All                              All                  All      0.9972163676092628         0.9996397241373245        0.032425393577207196      0.002236363338156022      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4020.254947382934    All      -0.001470905828496967      0.00018733539245074124    -0.005324403781280943     0.00030254003352189545    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4911.064912102373    All      -0.0002594129778033131     -0.0001426932176158467    -0.0017558949784225524    -4.033806249394898e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5684.917205596945    All      -0.00023057034610452672    3.5859267364208345e-05    0.0010687150024318018     0.00013447673250875959    
MWEBV         All|All|All                              All                  All      -0.7943331490511145        -3.644008881810734        0.06986739727315805       -0.9251152766557645       
Redshift      All|All|All                              All                  All      5.902061486118767          1.0073750274582238        16.629710160625624        -0.8522528230146036       
