#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4020.254947382934    All      -1.875496859730232         0.40948579399628926        -4.315105524607576        0.5517306830147503         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4911.064912102373    All      1.5719840012362825         0.7702949237584633         10.157704877030065        0.19215520868902275        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5684.917205596945    All      1.3177381239072055         -0.17743730436539096       -5.685559499757792        -0.7407482344428059        
Check         All|All|All                              All                  All      1.0142252654132564         1.0023434133893616         0.15703985266469722       0.0031376572609670417      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4020.254947382934    All      -0.0013983817916589855     0.0002072049790204966      -0.004785500655768516     0.000309437518188663       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4911.064912102373    All      -0.0002855788453948159     -0.00011563594281529932    -0.0016850044168004754    -1.9838013850862726e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5684.917205596945    All      -0.00017803226714836087    2.2942416430690697e-05     0.0008344586754140714     0.00010270212446605192     
MWEBV         All|All|All                              All                  All      -0.7998223764451398        -3.6443744321600136        0.03809088000089056       -0.9248643664999192        
Redshift      All|All|All                              All                  All      6.136201634362429          0.9348859010827937         18.570508628289378        -0.8655231437146548        
