#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|PS|PS_r 5625.768054701752 All 0.27190931558594555 -0.7890150375019545 -4.479429713350834 -0.5454743400055259
Zeropoint AB|PS|PS_z 7830.975697932824 All 1.8372439947780341 0.039930983812221044 8.484215981492966 -0.206832384853836
Zeropoint AB|PS|PS_g 4429.975423342307 All -0.6706450365907246 1.4128188907543944 3.463013345622988 0.8331911256337031
Zeropoint AB|PS|PS_i 6814.023524530395 All 0.4413375481791668 0.3131909903118384 3.3757126174913363 0.1089010002374543
Check All|All|All All All 1.8798458219524214 0.9769258273764994 10.843512231256456 0.18978540101179553
