#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5625.768054701752    All      0.22613451222098524        -0.5904481122961158       -2.5856036952963843       -0.3813714432484384        
Zeropoint     AB|PS|PS_z                7830.975697932824    All      1.274760197072502          -2.028921909641923        -7.855993105449327        -1.4266948410947826        
Zeropoint     AB|PS|PS_g                4429.975423342307    All      -0.6497695351957228        0.9381455932143012        -0.12989933958788044      0.5114393872594412         
Zeropoint     AB|PS|PS_i                6814.023524530395    All      0.17585140836491986        2.6407669472206408        10.661750065864812        1.2786890221104887         
Check         All|All|All               All                  All      1.0269765824626844         0.9595425184969031        0.09025392553122025       -0.017937874973291246      
Lambda        AB|PS|PS_r                5625.768054701752    All      -4.792201228862744e-05     0.00012536730851828002    0.0005472723642620189     8.086828492208602e-05      
Lambda        AB|PS|PS_z                7830.975697932824    All      -0.00026711481735669106    0.00039785720973108715    0.0011028642224802786     0.0002658190311295037      
Lambda        AB|PS|PS_g                4429.975423342307    All      3.7821970062749206e-05     -5.455167803656188e-05    7.0452834462519555e-06    -2.9774737546310934e-05    
Lambda        AB|PS|PS_i                6814.023524530395    All      -7.495669548111383e-05     -0.0014124240473943268    -0.005552199602863348     -0.0006834262858324078     
MWEBV         All|All|All               All                  All      -0.42495454225982776       -4.0160402747831725       -1.4322499365656742       -1.2336495028771475        
Redshift      All|All|All               All                  All      4.670119151765518          -1.8890122553195          -14.78301049402154        -2.796222750738101         
