#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6191.07500676816     All      1.47287475085947           -0.07076593060517666       0.7444447245064357         -0.46959340527923943       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5372.731395619373    All      -0.6673681355558723        -0.11281337532320634       -4.999404824909788         -0.0424637461824023        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7542.728135496603    All      0.8047503528374265         0.14124413701201988        2.0671847986294627         -0.1238768398739968        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4344.430467192857    All      -0.6026819993904549        1.0427780591325764         2.236309837132581          0.6357767121205847         
Check         All|All|All                                All                  All      1.0075749687505693         1.0004428902162132         0.04853453535869168        -0.00015727921505381826    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6191.07500676816     All      -0.00015084389090531134    -1.3922656589834855e-05    -0.00023415896803300428    3.415031130128824e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5372.731395619373    All      -0.00043923030630368585    -9.620120193004644e-05     -0.0031592184997202553     -2.9245547259946448e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7542.728135496603    All      -0.00015915392027178118    -2.1389474224176924e-05    -0.0003803234267590193     2.7902324619419742e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4344.430467192857    All      -0.0003142379333850507     0.000161120198275063       -0.00037683571780566013    0.00013802333495789522     
MWEBV         All|All|All                                All                  All      -0.8043411906080875        -3.9910381740406287        0.4293006846325302         -1.0188543288722751        
Redshift      All|All|All                                All                  All      7.204505829522931          1.819912959085368          17.104795558743394         -0.9906305794429051        
