#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1 6191.07500676816 All 3.033007905480667 0.6543946454167013 12.253086982634208 -0.22799359721272938
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1 5372.731395619373 All -0.8007884345468836 0.4872714119446018 -2.9696751210035965 0.2870405064866426
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1 7542.728135496603 All 1.821555617242877 0.6734405934591612 9.972278113805094 0.07103813609367493
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1 4344.430467192857 All -0.32509269611148717 0.5213373135539401 1.0864920435002108 0.32419525069216815
Check All|All|All All All 3.728682392065174 2.3364439643744044 20.34218201893592 0.4542802960597563
