#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4598.146176442154     All      0.9470484977610161       0.28960764121439553        0.7968373326407939        -0.1785909257247009        
Zeropoint     AB|MEGACAMPSF|r           3264.6168638704276    All      -1.4863079494432547      -0.12272945221436515       0.1412772900785873        0.4504669335406046         
Zeropoint     AB|MEGACAMPSF|i           3987.1991623948275    All      1.537614423607907        0.8321850920113505         -0.935230389642298        -0.27151657816858354       
Check         All|All|All               All                   All      0.9983549719256684       0.9990632810113809         0.002884233077083298      0.00035942964732016414     
Lambda        AB|MEGACAMPSF|z           4598.146176442154     All      4.347572315436893e-05    1.1131793692236917e-05     -7.548322294411258e-05    -1.3903951467581577e-05    
Lambda        AB|MEGACAMPSF|r           3264.6168638704276    All      -0.003497224293004013    -0.00036517865203290365    -0.0010883834938224127    0.0009716407499405339      
Lambda        AB|MEGACAMPSF|i           3987.1991623948275    All      0.0011626939498375535    0.0006338819303784981      -0.0008941188278929272    -0.0002121518888861194     
MWEBV         All|All|All               All                   All      -0.5646189575051037      -1.6647829491239108        0.14381358132800237       -0.3519418667677104        
Redshift      All|All|All               All                   All      4.566754088458206        0.3899497565461374         2.4491061156705936        -1.2512302260798687        
