#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5594.689668788895    All      1.3367620745678384         0.2711985229900904         0.28643450933729664       -0.3343068481428464        
Zeropoint     AB|MEGACAMPSF|g           3587.226899458262    All      -0.5291655931804125        0.24729358622543884        -0.024978407302711503     0.25180362788448857        
Zeropoint     AB|MEGACAMPSF|z           6443.694642307296    All      0.5934775182614695         -0.006486409995254405      0.06612965947350169       -0.19247692668040856       
Zeropoint     AB|MEGACAMPSF|r           4575.101431174028    All      -0.40869659126246827       0.486766296106822          -0.34305620732251185      0.27637269933749387        
Check         All|All|All               All                  All      0.9923774083864273         0.9987719953270968         -0.015470445814425027     0.0013925523987274868      
Lambda        AB|MEGACAMPSF|i           5594.689668788895    All      -0.00040686032265355187    -0.0001375215330892983     -0.000956738076988645     4.503767850710397e-05      
Lambda        AB|MEGACAMPSF|g           3587.226899458262    All      -0.0010340770719228203     0.00030547337465953995     -0.0010412838598035659    0.0003898679341333133      
Lambda        AB|MEGACAMPSF|z           6443.694642307296    All      -8.780535204522377e-05     -1.1906505627789024e-05    -0.0001550539304359268    1.7803406497626313e-05     
Lambda        AB|MEGACAMPSF|r           4575.101431174028    All      -0.0002905789782434381     -0.0001363397837940315     -0.0015445251451641454    -1.8684283530319644e-05    
MWEBV         All|All|All               All                  All      -0.4509543410742354        -2.651892914840026         0.07896038032974007       -0.713394463081634         
Redshift      All|All|All               All                  All      5.066409606744537          1.0221818127321924         3.072004591927213         -1.1802485879212758        
