#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5594.689668788895    All      1.358056608162772          0.262867673788314          0.3478783977602344        -0.3412148514271355        
Zeropoint     AB|MEGACAMPSF|g           3587.226899458262    All      -0.5536056815771087        0.2559233810977446         -0.05916764175744424      0.26104986832380567        
Zeropoint     AB|MEGACAMPSF|z           6443.694642307296    All      0.6846213999401531         -0.028113684144770446      0.054624033666989716      -0.22972364543079676       
Zeropoint     AB|MEGACAMPSF|r           4575.101431174028    All      -0.4952511525827779        0.5091213231764868         -0.3399783217703733       0.3119854871911152         
Check         All|All|All               All                  All      0.9938211739430387         0.999798693917775          0.003356467899406579      0.0020968586569886094      
Lambda        AB|MEGACAMPSF|i           5594.689668788895    All      -0.00035627297349106525    -0.00012383758762977794    -0.000980952610320795     3.193644242584313e-05      
Lambda        AB|MEGACAMPSF|g           3587.226899458262    All      -0.0010841844031632064     0.00031985527158898965     -0.0011467632863052697    0.00040616713502552904     
Lambda        AB|MEGACAMPSF|z           6443.694642307296    All      -0.0001506943378287926     -2.0551542558330447e-05    -0.0003093960286211878    2.8584866237576365e-05     
Lambda        AB|MEGACAMPSF|r           4575.101431174028    All      -0.00022273400564421745    -0.0001281440833415562     -0.0013645742009955365    -3.0083629717826474e-05    
MWEBV         All|All|All               All                  All      -0.43127143596975026       -2.6596739925343726        0.091091781456606         -0.721799017102628         
Redshift      All|All|All               All                  All      5.186112744188861          1.078658799708343          4.521662878857385         -1.1361518339013215        
