#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5349.349080514674    All      0.19588593964779616        0.6578481596706709        -0.74861486683116          0.11706904992410615        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4275.878595081155    All      -0.9956991085287551        0.6564998080736295        0.37755674891458246        0.5550241665158575         
Zeropoint     AB|CNIa02|SDSS_i                      7314.286614356584    All      0.5899909938202025         -0.15212854711830204      0.9410437846871681         -0.19973828743855454       
Zeropoint     AB|CNIa02|SDSS_r                      6031.531884492923    All      1.205723557750565          -0.16386713807268194      -0.575285783157184         -0.4717931101354336        
Check         All|All|All                           All                  All      0.9959013826898083         0.9983522825533164        -0.005300116386593445      0.0005618188659755052      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5349.349080514674    All      -2.6477615272622304e-05    5.886916649384757e-05     -0.0013489895298009359     -3.2398952383146044e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4275.878595081155    All      -0.000426093877133646      0.00014582147544709047    -0.000878434457686975      0.00014709115044873644     
Lambda        AB|CNIa02|SDSS_i                      7314.286614356584    All      -0.00016918340020555145    0.00010075117668579157    -0.00032747188488797715    7.331300607872644e-05      
Lambda        AB|CNIa02|SDSS_r                      6031.531884492923    All      -0.00016138625109386344    3.697083451657212e-05     -0.0006852400436393338     3.403231258366346e-05      
MWEBV         All|All|All                           All                  All      -0.855320816337771         -3.9869801060223864       0.14808918242115057        -1.0134759191182143        
Redshift      All|All|All                           All                  All      6.085711594652853          -1.8024438473672966       10.50185865707424          -2.10078202149869          
