#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5349.349080514674    All      0.19687757919133586        0.6506289405480814        -0.668453480016603        0.11797173765292213       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4275.878595081155    All      -0.8967641464616173        0.6609000528682074        0.8511725097777062        0.5453663951691761        
Zeropoint     AB|CNIa02|SDSS_i                      7314.286614356584    All      0.5699239376719454         -0.14777076472380912      1.1451475588034623        -0.18267409994777856      
Zeropoint     AB|CNIa02|SDSS_r                      6031.531884492923    All      1.1238884123407813         -0.16508199946585478      -1.3293154825646962       -0.4791813136540715       
Check         All|All|All                           All                  All      0.9939257827424453         0.9986762292266249        -0.0014488940001307071    0.0014827192202481188     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5349.349080514674    All      -8.872108173806005e-05     9.354032841355461e-05     -0.001547589597429275     -9.69327840266971e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4275.878595081155    All      -0.0003685417749982126     0.00013558871901041595    -0.0010166805257646346    0.00011884210487911192    
Lambda        AB|CNIa02|SDSS_i                      7314.286614356584    All      -0.0001692891043731901     9.023185435825466e-05     -0.0003799397326325782    6.757954897745327e-05     
Lambda        AB|CNIa02|SDSS_r                      6031.531884492923    All      -0.00017928431379335343    4.4344542570124463e-05    -0.0007820964023332642    3.794190529114681e-05     
MWEBV         All|All|All                           All                  All      -0.8510020233378026        -3.9844064401624912       0.19540474521756862       -1.0119328881856293       
Redshift      All|All|All                           All                  All      6.306404127616434          -1.8967268282329641       11.437615739651022        -2.161621367920915        
