#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7375.037438912445     All      0.361483872012615          -0.030908807157370433      0.26512703427234996        -0.11598380308621287      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4282.037169202808     All      -0.722711260293877         0.42240524361760734        -0.04413355758590143       0.37103264056098234       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5366.182722375888     All      0.7262804163145504         0.25870601623880773        0.27310340956820944        -0.1401170139950808       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6077.610675089824     All      1.233852556198678          -0.1353858111375672        -0.41986370199884604       -0.46474257150165704      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4610.4690829865085    All      -0.5986468225210748        0.48300732458432805        -0.06486358359172328       0.34943577724864394       
Check         All|All|All                      All                   All      1.0002587617108918         0.9978239661458055         0.009369600664088651       -0.0003749707733244345    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7375.037438912445     All      -0.0001724368510740472     2.7773467269185886e-05     -6.0969920191576676e-05    6.249427989478407e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4282.037169202808     All      -0.00023350363554787185    7.001090954499993e-05      -0.00037692056465776563    8.20444390015498e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5366.182722375888     All      5.79523775906987e-05       -5.3665272528317996e-05    -0.0009458160634316025     -7.856496769027565e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6077.610675089824     All      -0.00032671557573380833    -3.974249363501802e-05     -0.0006562026835618493     6.419326203609673e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4610.4690829865085    All      -0.00010699490767816734    -4.169205095871516e-05     -0.00045958796833266656    7.619886182009309e-07     
MWEBV         All|All|All                      All                   All      -0.868600411074445         -3.9857117193811575        0.056274634056840966       -1.0128344245735914       
Redshift      All|All|All                      All                   All      7.362041972022201          0.36092067767921066        5.835930372337139          -2.0200647665579163       
