#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7375.037438912445     All      0.41419627464418235        -0.052165532234482725      0.19574956636148172        -0.1431739792466261        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4282.037169202808     All      -0.7078114560534035        0.44143864122503373        -0.034560052237564705      0.37280630948595794        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5366.182722375888     All      0.5525133706937786         0.21380543095430582        -0.06607872781368315       -0.11327710926708383       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6077.610675089824     All      1.3193881111736738         -0.10482405525857885       -0.05277808454873372       -0.4662680013079574        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4610.4690829865085    All      -0.5793699942623967        0.49914903123671195        -0.04111521434609602       0.34947434564615426        
Check         All|All|All                      All                   All      0.9989163061958345         0.9974035159229899         0.001217487415404131       -0.00043843468955512277    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7375.037438912445     All      -0.00012007652166277478    2.841655678913134e-05      -2.9899741300897805e-06    4.823565211598822e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4282.037169202808     All      -0.00039468467843067396    0.00014088519633924425     -0.0005101813019122418     0.0001516856796117072      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5366.182722375888     All      0.00014434010238933905     -7.510805156248395e-05     -0.00101830024722769       -0.0001169235465218295     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6077.610675089824     All      -0.0001997619836140064     -2.1332043364999093e-05    -0.0004589479144764442     3.763976415821968e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4610.4690829865085    All      -0.00017385359220836922    2.0496341733071438e-05     -0.0005053727506406119     4.0753702639634146e-05     
MWEBV         All|All|All                      All                   All      -0.8579049256911264        -3.9919467880730863        0.03650122266535778        -1.019231659568992         
Redshift      All|All|All                      All                   All      7.7052761582638665         -0.2330682669002826        6.1536973750550334         -2.3111686921112735        
