#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4700.633455480268    All      -2.341890615083767        1.2600309307275737        -0.44839577661892616      1.153254503066628          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5629.013210707135    All      3.3358247713213283        -0.26795367083014554      0.3551589575309211        -1.1580200863093608        
Check         All|All|All                            All                  All      0.9939341562375614        0.9920772598974281        -0.09323681908800507      -0.004765583242732907      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4700.633455480268    All      0.00022467564370753142    -0.0002828306865380561    -0.0011820052966724883    -0.00021805897585984316    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5629.013210707135    All      -0.0010847356987167239    9.988295584697396e-05     0.00012655539409863362    0.0003915168545782445      
MWEBV         All|All|All                            All                  All      -0.2634273831357885       -2.6149078196079145       -0.05751996479769206      -0.768521391416746         
Redshift      All|All|All                            All                  All      5.4772445143805           1.7220372003997397        -1.267408351086785        -1.2797531785275733        
