#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4700.633455480268    All      -2.3415285415168148       1.2995867542585415         -0.27656339437474736      1.1736892868879532        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5629.013210707135    All      3.3393208934187575        -0.2970285617921675        0.27901851877448847       -1.1720273348986385       
Check         All|All|All                            All                  All      0.9977923519019427        1.002558192466374          0.0024551243997411043     0.001661951989314625      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4700.633455480268    All      -8.732127232854785e-05    -0.00012856690823388552    -0.0013772834055814154    -7.489689331270085e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5629.013210707135    All      -0.000577539772712174     7.893393117238254e-05      0.0003978475265690033     0.00023158919056172965    
MWEBV         All|All|All                            All                  All      -0.2671077860674802       -2.608540228123779         -0.014080261837292343     -0.7633099146345304       
Redshift      All|All|All                            All                  All      5.108083448478867         1.221735382283562          -0.8519103687765506       -1.303928269289151        
