#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4596.008463471524     All      0.6061360870376585         0.4036154319809526         -0.08273518373179713      -0.06965973134461306      
Zeropoint     AB|SDSS|SDSS_z            6626.383579312812     All      0.1607901495120667         0.03347103150410646        0.29244584456055134       -0.028421510522203486     
Zeropoint     AB|SDSS|SDSS_g            3517.2608456153635    All      -0.9759430970679024        0.2849434009792873         -0.16528480587316582      0.403336312587155         
Zeropoint     AB|SDSS|SDSS_i            5573.463562427229     All      1.2059475352860662         0.27647725650457033        -0.03931652173570232      -0.30451356425383946      
Check         All|All|All               All                   All      0.9969306747678891         0.9985071209689167         0.005109333219886082      0.000741506466499009      
Lambda        AB|SDSS|SDSS_r            4596.008463471524     All      -0.00027613310821412843    -0.00011909483159307155    -0.0009562733326635346    8.478446269105094e-06     
Lambda        AB|SDSS|SDSS_z            6626.383579312812     All      -4.884719240598573e-05     -1.0947212732225563e-05    -8.662384842450246e-05    8.47964574579913e-06      
Lambda        AB|SDSS|SDSS_g            3517.2608456153635    All      -0.0016843371407479965     0.00028146478622814253     -0.0027042703022524942    0.0005196471972532728     
Lambda        AB|SDSS|SDSS_i            5573.463562427229     All      -9.52400411725233e-05      -1.9690487036213357e-05    0.00028431391316865507    3.7296599426845505e-05    
MWEBV         All|All|All               All                   All      -0.6120098404052605        -2.6884320472262857        0.21350896007747586       -0.6668311007460622       
Redshift      All|All|All               All                   All      7.668866008657769          0.6196886759397557         2.974384600058488         -2.1634158444657983       
