#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7396.924382959426    All      0.07938137851378632        0.0028468666164016554      0.0895006332581633         -0.020935806234858727     
Zeropoint     AB|SDSS|SDSS_i            6221.566866602862    All      1.1038318842845563         0.042747274513743605       -0.5267792986128027        -0.3691379067364061       
Zeropoint     AB|SDSS|SDSS_r            5130.449612647686    All      0.9113777460307808         0.3663386075018593         0.8827717784886512         -0.13814312862409653      
Zeropoint     AB|SDSS|SDSS_g            3926.261164745137    All      -1.0969155331791511        0.5867410918837024         -0.44786838646541144       0.528436044337815         
Check         All|All|All               All                  All      0.9976754756499727         0.998673840515707          -0.002375273331399641      0.00021920274245357252    
Lambda        AB|SDSS|SDSS_z            7396.924382959426    All      -1.7699717962652595e-05    -3.7688407343422506e-07    -1.1654220594861934e-05    5.1225425627759894e-06    
Lambda        AB|SDSS|SDSS_i            6221.566866602862    All      -0.0002790773168870539     -1.40286708892001e-05      9.761117337475858e-05      9.069100219876082e-05     
Lambda        AB|SDSS|SDSS_r            5130.449612647686    All      3.258228754192017e-05      2.3142834094948268e-05     -0.00048302963940001595    -2.463013486800459e-05    
Lambda        AB|SDSS|SDSS_g            3926.261164745137    All      -0.0010281599619447787     0.00045331452224486776     -0.0014686174544158279     0.0004170273266888202     
MWEBV         All|All|All               All                  All      -0.5750938294241372        -3.2112101490611167        0.10262673977835998        -0.8540900509079297       
Redshift      All|All|All               All                  All      5.121954543981578          0.15932246103886882        -5.388990659172506         -1.8569784375405025       
