#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7396.924382959426    All      0.07218262738175005        0.002797686217093087     0.1446027503851255        -0.01614800142081263      
Zeropoint     AB|SDSS|SDSS_i            6221.566866602862    All      1.107750525887631          0.03776214281376866      -0.25256231083274905      -0.3598011138950974       
Zeropoint     AB|SDSS|SDSS_r            5130.449612647686    All      0.7582719100702471         0.413818615044903        0.9069476174890401        -0.07172686365776726      
Zeropoint     AB|SDSS|SDSS_g            3926.261164745137    All      -0.940228285419545         0.5438922920118827       -0.7921857941941557       0.4480752845689995        
Check         All|All|All               All                  All      0.9979767779200831         0.9982707360876475       0.00680226284726082       0.0003993055953221969     
Lambda        AB|SDSS|SDSS_z            7396.924382959426    All      -1.3874731724952875e-05    5.945907859253918e-07    3.667436002838763e-05     6.3497426171880695e-06    
Lambda        AB|SDSS|SDSS_i            6221.566866602862    All      8.73146612996876e-05       6.631918361501719e-06    0.0006408768251919149     2.318365509155199e-06     
Lambda        AB|SDSS|SDSS_r            5130.449612647686    All      -0.00014422969828967647    8.59436924254941e-05     -0.0011726647235355233    2.2644405078437744e-05    
Lambda        AB|SDSS|SDSS_g            3926.261164745137    All      -0.0010103701969548856     0.0006988272594652117    -0.000245190255226223     0.0005458001275094804     
MWEBV         All|All|All               All                  All      -0.5640177020335879        -3.2197063034306694      0.09354645000141382       -0.8608705986146215       
Redshift      All|All|All               All                  All      4.724231621179788          -0.5945097360060103      -7.211017875425041        -2.054283650201638        
