#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7739.612352958697    All      0.41445799829765656        -0.08242475849034037      0.1840024958779084         -0.15363987454486108      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5262.882217694987    All      0.277218864138149          0.5118302213395154        -0.0030361830696162885     0.07628514661916254       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4292.095447946259    All      -1.0435198279490532        0.7053259041335025        -0.03785929576038603       0.5679671037665742        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6243.500704317101    All      1.3492378974436934         -0.136261680594707        -0.1422166853390822        -0.4902225615406693       
Check         All|All|All                       All                  All      0.9973949319304457         0.9984696863879705        0.0008903317088238827      0.0003898143002064036     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7739.612352958697    All      -8.397590061930547e-05     1.9254192258238324e-05    -1.0252311659610767e-05    3.3167923837191245e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5262.882217694987    All      -3.88697533385577e-05      8.911991687990414e-05     -0.000887738128756553      2.074770872577875e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4292.095447946259    All      -0.0003174189477756531     0.00015351132025864865    -0.0003696126203201394     0.00013690336776887383    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6243.500704317101    All      -0.00039936370565315154    8.607776117802127e-06     -0.0004540255271395709     0.00011262865946346335    
MWEBV         All|All|All                       All                  All      -0.8098349543607504        -3.9654772507949687       0.030977265278252          -1.0265141404205531       
Redshift      All|All|All                       All                  All      3.921215831633047          -0.028036765094974214     -0.7117150381153594        -1.3181620706676958       
