#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7739.612352958697    All      0.39690704191599707        -0.07422356549291464      0.18483297130591908        -0.14521449196742697       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5262.882217694987    All      0.32728565055932046        0.4938977682257928        0.014759152807804904       0.054929681303303446       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4292.095447946259    All      -1.0680513855052818        0.7019163924481653        -0.10616800838954554       0.5717989448873223         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6243.500704317101    All      1.3418369065068578         -0.12341010889622694      -0.0926130510112963        -0.48141205322203007       
Check         All|All|All                       All                  All      0.9979782134768933         0.9981804862848165        0.0008110647128821424      0.00010208100116870789     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7739.612352958697    All      -8.617567094692364e-05     1.9174690136705447e-05    -7.70972947443812e-06      3.397202871193194e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5262.882217694987    All      -5.1257745340897495e-05    6.194888911600253e-05     -0.0008584239986377801     -1.4323952301224307e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4292.095447946259    All      -0.0002535245448898097     9.658397113020587e-05     -0.00044378718781938305    9.423767794422153e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6243.500704317101    All      -0.0004295855715901112     9.627352712331599e-06     -0.0004437029968283143     0.00012326567222702402     
MWEBV         All|All|All                       All                  All      -0.814739903029452         -3.96243046294531         0.032589485168488946       -1.023852052263119         
Redshift      All|All|All                       All                  All      4.000885893818336          0.32412381177753247       -0.7044848667947342        -1.2290802960233493        
