#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3844.7967114777057    All      -1.0066195321775444        0.5104091426332502         -0.24899703269902762       0.48303455417948793        
Zeropoint     AB|SDSS|SDSS_i            6092.478015406315     All      1.1379381288909254         0.08468229860749688        -0.31092622118082947       -0.35695528422970757       
Zeropoint     AB|SDSS|SDSS_r            5023.999925483899     All      0.5990301215677445         0.39759305610811424        -0.23037303143171872       -0.07589516963054585       
Zeropoint     AB|SDSS|SDSS_z            7243.4484995594385    All      0.26741148258004604        0.005766161957687643       0.7979323529433868         -0.04961843266094931       
Check         All|All|All               All                   All      0.9977602008611716         0.998450659306549          0.0076360676318110166      0.000565667658285196       
Lambda        AB|SDSS|SDSS_g            3844.7967114777057    All      -0.0013320059928591866     0.0004199084643056704      -0.0012031258107752416     0.0005169661957943482      
Lambda        AB|SDSS|SDSS_i            6092.478015406315     All      -0.00017790221504874765    -4.815268075125682e-05     -0.0007405454975370456     9.216547600949697e-06      
Lambda        AB|SDSS|SDSS_r            5023.999925483899     All      -0.00039496883414430614    -5.543023908185619e-05     -0.003116714402155788      -2.8485758316903248e-05    
Lambda        AB|SDSS|SDSS_z            7243.4484995594385    All      -8.256023829940015e-05     -1.6650355685391056e-06    -0.00039245832883131617    8.836616182726621e-06      
MWEBV         All|All|All               All                   All      -0.547530617503269         -3.108028681415753         0.11971740242859852        -0.8286960194722366        
Redshift      All|All|All               All                   All      9.38889981504559           1.0577790854975788         28.781189765651206         -1.429347795326969         
