#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5948.239047871005    All      1.226435712574008          0.0586661327007576        -0.671174985079398         -0.4103324276316378       
Zeropoint     AB|PS|PS_g                4683.903164512985    All      -1.2609365620788318        1.2052386392360503        0.268693150116156          0.815304939049119         
Zeropoint     AB|PS|PS_z                8279.849964742702    All      0.3246900563694225         -0.10150772468833225      -0.00807979257713698       -0.13918720281460017      
Zeropoint     AB|PS|PS_i                7204.605736962269    All      0.7003313090062031         -0.16404838580896808      0.3448708137922363         -0.266166903363399        
Check         All|All|All               All                  All      0.9905205158708021         0.9983486614395076        -0.06569081374814267       -0.0003815947605179115    
Lambda        AB|PS|PS_r                5948.239047871005    All      3.500449714110814e-05      -4.422731284555196e-05    -0.0011808918798193984     -7.85061881178885e-05     
Lambda        AB|PS|PS_g                4683.903164512985    All      -0.00040749723794496933    0.00023307267969132882    -0.00041429863316933484    0.00019016645110491833    
Lambda        AB|PS|PS_z                8279.849964742702    All      0.00020686981951959378     -5.260909817820636e-05    0.00023194234363998388     -7.417029857300402e-05    
Lambda        AB|PS|PS_i                7204.605736962269    All      -0.0003946104656596564     5.0629970050755074e-05    -0.0015759369052440785     7.470263182148947e-05     
MWEBV         All|All|All               All                  All      -0.7059203240841123        -3.94339057301476         0.08096584529483919        -1.0509374358714185       
Redshift      All|All|All               All                  All      6.515682238059723          -1.0167653273500221       12.780334068029198         -1.883238370713272        
