#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5948.239047871005    All      1.3571525380843            0.023981898206404395      -0.3949115611176739       -0.4518806266289957       
Zeropoint     AB|PS|PS_g                4683.903164512985    All      -1.1969401605138994        1.149888847616154         0.007329421778197572      0.764766494760152         
Zeropoint     AB|PS|PS_z                8279.849964742702    All      0.26089439333316505        -0.06254711524373846      0.08876209455576925       -0.10139449564259385      
Zeropoint     AB|PS|PS_i                7204.605736962269    All      0.5797383782795065         -0.11286842678757125      0.2997311890661931        -0.21222919614495417      
Check         All|All|All               All                  All      1.0008451491830717         0.9984552037912486        0.0009111442824860649     -0.0007378236563916896    
Lambda        AB|PS|PS_r                5948.239047871005    All      -0.0002846360150752786     1.3615687375782281e-05    -0.0011823062180377861    4.438949530289385e-05     
Lambda        AB|PS|PS_g                4683.903164512985    All      -0.00013776422310545175    -5.742412939800193e-05    -0.0007027110081443871    -5.189353227469454e-06    
Lambda        AB|PS|PS_z                8279.849964742702    All      0.00018673446642565193     -4.45561958418841e-05     4.8138422963362575e-05    -7.319078121223301e-05    
Lambda        AB|PS|PS_i                7204.605736962269    All      -0.00034885235645692493    3.601150927238812e-05     -0.0012426424385211968    6.990939793221794e-05     
MWEBV         All|All|All               All                  All      -0.7104478110848489        -3.9367424753526947       0.0367209698879894        -1.0492716258609744       
Redshift      All|All|All               All                  All      7.643926183599186          -0.0520717250694247       16.017483768136533        -1.7920529747341714       
