#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3703.184152424207    All      -0.8593383334635203        0.41153579148680564       -0.6065659736356496       0.38689725946652836        
Zeropoint     AB|DECam|DECam_i          5979.380571161246    All      0.9434863378914233         0.09922938609143728       -0.392519811784448        -0.2925186208516142        
Zeropoint     AB|DECam|DECam_r          4921.806844973915    All      0.4486224972602259         0.4865811410905252        1.02884063550487          0.05827681136627574        
Zeropoint     AB|DECam|DECam_z          7006.954615493396    All      0.4637433412361305         0.001151842632296507      -0.027601055526883637     -0.15191297824463096       
Check         All|All|All               All                  All      0.9965138429242593         0.9984981613010646        0.002153794557888774      0.000742471736558975       
Lambda        AB|DECam|DECam_g          3703.184152424207    All      -0.0016141927287561643     0.0005775746434557361     -0.0025562241774353257    0.0005998581954082283      
Lambda        AB|DECam|DECam_i          5979.380571161246    All      -0.0001226920217442744     -4.458609398112316e-06    9.919375316105915e-05     4.2939073788021886e-05     
Lambda        AB|DECam|DECam_r          4921.806844973915    All      -7.645640163918187e-05     -4.438632936429696e-05    -0.0008638445258146084    -2.8103136078735003e-05    
Lambda        AB|DECam|DECam_z          7006.954615493396    All      -0.00032485009572297475    8.28091642909895e-06      3.8877599521964076e-05    0.00011024665905100417     
MWEBV         All|All|All               All                  All      -0.471294889850439         -2.837035512463437        0.1107468229632908        -0.7656574292726475        
Redshift      All|All|All               All                  All      6.4255506260739885         -0.672827851521518        -1.5897663878012258       -2.383119372222891         
