#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3703.184152424207    All      -0.8983621605516469        0.4168253336382932        -0.5675602740881192       0.4030722269185237        
Zeropoint     AB|DECam|DECam_i          5979.380571161246    All      0.9231241379118901         0.09681120006312938       -0.44643934921331785      -0.2890798464791483       
Zeropoint     AB|DECam|DECam_r          4921.806844973915    All      0.475588205626747          0.47346182949539184       0.9306667544398628        0.04083875219117461       
Zeropoint     AB|DECam|DECam_z          7006.954615493396    All      0.4955903935818646         0.0118598054209329        0.08626195499434886       -0.1537174919630964       
Check         All|All|All               All                  All      0.9959405765688549         0.9989581686177473        0.00292908613277465       0.0011136406674535915     
Lambda        AB|DECam|DECam_g          3703.184152424207    All      -0.0015853812549268976     0.0005410179494204315     -0.002373193223108434     0.0005867334634467341     
Lambda        AB|DECam|DECam_i          5979.380571161246    All      -0.00012566247714457468    -6.203126540902464e-06    0.0001249252654149399     4.448668142199316e-05     
Lambda        AB|DECam|DECam_r          4921.806844973915    All      -5.9248014236658414e-05    -5.966063120156937e-05    -0.0008079167427789034    -3.618801652300349e-05    
Lambda        AB|DECam|DECam_z          7006.954615493396    All      -0.0003012361396469682     1.729781068433219e-05     0.0001534870077400536     0.00011060640729370937    
MWEBV         All|All|All               All                  All      -0.48201583960122063       -2.834826187483941        0.09196708285819089       -0.7622836669482568       
Redshift      All|All|All               All                  All      6.392388385357389          -0.5297375144863281       -1.893001012375578        -2.339240077700056        
