#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|SDSS|SDSS_g            3631.6651787119727    All      -1.3100434550652582        0.34553564581916163        -1.5295016668479724       0.4710219454482892       
Zeropoint     AB|SDSS|SDSS_r            4745.500726413949     All      1.5507850341596672         0.4982395558416286         4.241318272654121         -0.15357813516756483     
Zeropoint     AB|SDSS|SDSS_i            5754.74905983144      All      0.5560678249846633         0.12400749618795004        -3.590713587554246        -0.30097331931323945     
Zeropoint     AB|SDSS|SDSS_z            6841.91692401161      All      0.20932892080270538        0.03215541189547366        0.9539801631563337        -0.015139487477138107    
Check         All|All|All               All                   All      1.006138324881778          0.9999381097442139         0.07508318140823655       0.0013310034903467674    
Lambda        AB|SDSS|SDSS_g            3631.6651787119727    All      -0.0019616560018058814     0.00046028745175837553     -0.004171250839719937     0.0006027628952842429    
Lambda        AB|SDSS|SDSS_r            4745.500726413949     All      -0.00019181737314424708    -5.7032517687375964e-05    -0.0007904937229688812    8.627757462584486e-06    
Lambda        AB|SDSS|SDSS_i            5754.74905983144      All      -6.514319013110744e-05     -1.4885510265231466e-05    0.0004256316065813334     3.536456350733507e-05    
Lambda        AB|SDSS|SDSS_z            6841.91692401161      All      -8.553325935608805e-05     -1.3686084226946073e-05    -0.0003826442412010674    6.327333578044218e-06    
MWEBV         All|All|All               All                   All      -0.6290927428020332        -2.8433280683774598        0.006507235280967132      -0.7209589036944412      
Redshift      All|All|All               All                   All      5.40550869722084           -0.6705911949252297        7.400152555027531         -1.648950811761335       
