#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3631.6651787119727    All      -1.0824398823732801        0.36473309723881187       0.4149229135950172         0.4899079539982441        
Zeropoint     AB|SDSS|SDSS_r            4745.500726413949     All      1.1451539949452818         0.46928361976323885       0.5309580735170183         -0.19645899645283765      
Zeropoint     AB|SDSS|SDSS_i            5754.74905983144      All      0.4999864508682211         0.06757167265210029       -3.32673544521791          -0.289308643065464        
Zeropoint     AB|SDSS|SDSS_z            6841.91692401161      All      0.42025034359352237        0.0931806359799836        2.2607510006176668         -0.0056504301397128365    
Check         All|All|All               All                   All      0.9829509070337452         0.9947690256341346        -0.12010345748820761       -0.0015101156597703835    
Lambda        AB|SDSS|SDSS_g            3631.6651787119727    All      -0.0018324086639502353     0.0004912376106227903     -0.001421584718033987      0.0006934492404567979     
Lambda        AB|SDSS|SDSS_r            4745.500726413949     All      -2.6927736905525758e-05    -6.362122719548137e-06    0.0004910942459473902      2.8614177811325767e-05    
Lambda        AB|SDSS|SDSS_i            5754.74905983144      All      3.5420641276994034e-05     4.019228239525337e-06     0.0002990938216199805      3.11871026855656e-06      
Lambda        AB|SDSS|SDSS_z            6841.91692401161      All      -9.52627720152241e-05      -2.080391976923976e-05    -0.00046247666745897586    3.6154882098060737e-06    
MWEBV         All|All|All               All                   All      -0.6035828421423073        -2.844058957962581        0.017174007014109094       -0.7290303833418048       
Redshift      All|All|All               All                   All      2.2756820328844136         -1.1528143235546295       -16.851541161265615        -1.8687809431701736       
