#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5305.6415373964455    All      0.31181841890328943        0.45218242785551865       -2.0107109236830825        -0.04400761810825833       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7783.285820824791     All      0.5684667191674523         -0.0587136813805067       2.0891479187901005         -0.11106421357450005       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6294.674146520061     All      1.1038097786562853         -0.15000129854501054      -1.453236291110822         -0.4732587782030875        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4304.52890949754      All      -0.9878756494083007        0.7545626408965056        1.3705140999163332         0.6287292254049981         
Check         All|All|All                       All                   All      0.9962192673187261         0.998030088826507         -0.0042851960874707995     0.00039861551915221227     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5305.6415373964455    All      0.00013102947013415587     0.00010165092520258718    -2.1178438067306493e-05    -1.0514655031527582e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7783.285820824791     All      -2.7570625042968028e-05    3.2468677492542903e-06    -0.00010733586719691779    5.248364490633414e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6294.674146520061     All      -0.0003487943007111959     4.9558551754092395e-05    0.00029815854400726586     0.0001430620758939035      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4304.52890949754      All      -0.0005005990552424048     0.00012664296965158445    -0.0018880219765174248     0.00012005961371697136     
MWEBV         All|All|All                       All                   All      -0.7821326547001477        -3.998134890028915        0.5401080087543576         -1.0234551915731012        
Redshift      All|All|All                       All                   All      3.4756858419530583         -0.37931810353200035      -1.0363156281316537        -1.3019476177651776        
