#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5305.6415373964455    All      -0.007284382343098916      0.35810588983062885       -4.201824538959231         -0.06848849826178727       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7783.285820824791     All      0.6786179438867853         -0.09542756307130418      2.3911182733525216         -0.14542746042631727       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6294.674146520061     All      1.1394818424224982         -0.10342555439839529      -0.7365859453795309        -0.4377262773087587        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4304.52890949754      All      -0.8476141491491347        0.8303060206528379        2.458529689226019          0.6562666896501423         
Check         All|All|All                       All                   All      0.96320125481705           0.9895587930137673        -0.0887625217602217        0.004624453653279126       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5305.6415373964455    All      1.1936276850278422e-06     0.00012554586597840272    -0.0018137677081598194     -4.0434507402123904e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7783.285820824791     All      -7.060586521211774e-05     9.807214051746444e-06     -0.00027546040431527125    1.3900652727254729e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6294.674146520061     All      -2.3380483136276845e-05    -5.03894844476726e-06     0.0004940280956364928      2.8020646186875932e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4304.52890949754      All      -0.0007937228813829884     0.0004184251212360836     -0.0008587907168887117     0.00035651259752616236     
MWEBV         All|All|All                       All                   All      -0.7729386796277633        -4.0154611993272304       0.48592557881286247        -1.0345116336814675        
Redshift      All|All|All                       All                   All      1.7958432604456234         -1.5696633712292574       -6.590871632709927         -1.3903765620052577        
