#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
52202.55  17.476  0.084
52203.54  17.464  0.021
52205.5  17.404  0.021
52207.54  17.369  0.015
52209.5  17.396  0.117
52214.38  17.957  0.046
52216.5  18.08  0.074
