#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5296.246473835892    All      0.31595225630931023        0.5177557251850651        -0.16607451583615096      0.05832288606065217        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7495.833283115626    All      0.43592109397423595        -0.11816316716757314      0.1885024197408547        -0.17207147545189316       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4335.569060903164    All      -1.0600454849601748        0.7220761136620624        -0.20389833619536835      0.571396588457157          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6130.79306485945     All      1.3104737206688393         -0.12556995570633944      0.1850168411819786        -0.45951021795871266       
Check         All|All|All                              All                  All      1.0023015859922104         0.9960987159732149        0.003546408891313968      -0.001862218892796641      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5296.246473835892    All      2.7586054453280582e-05     0.00023185000413489257    -0.0015200441223748573    -1.2970993758122097e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7495.833283115626    All      -0.00010922897969134552    3.958948361998881e-05     -0.0003797973981477768    3.152645594954037e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4335.569060903164    All      -0.0006785450681922249     0.00032438788910948144    -0.0005607479002571426    0.00030166465634087227     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6130.79306485945     All      -0.00016282760202733222    3.988932874917866e-05     -0.0011825442151380562    1.3260056450357386e-05     
MWEBV         All|All|All                              All                  All      -0.8580167295691585        -4.040109653331303        0.028702009661102368      -1.0352315141493726        
Redshift      All|All|All                              All                  All      7.072957601121863          -1.6727760890782761       7.524143731980215         -2.5130052113742183        
