#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5296.246473835892    All      0.31694892237135214        0.5056085076049044        -0.21373008874380006       0.0519148413927204         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7495.833283115626    All      0.45635065420826587        -0.12542157837174273      0.16057192199870648        -0.18233676849061428       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4335.569060903164    All      -1.0984555819950659        0.7544418762176264        -0.014395548354169485      0.6029072534489157         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6130.79306485945     All      1.322882140662942          -0.13638345793758333      0.06825896720183838        -0.47228472967227153       
Check         All|All|All                              All                  All      0.9977261352474942         0.9982453475132047        0.0007052521025753267      0.00020059667875027554     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5296.246473835892    All      0.00012460295079615906     0.00019830995426379247    -0.0012762063341797349     -3.2942431372961004e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7495.833283115626    All      -8.959695009715643e-05     3.177228451376863e-05     -0.00032499745810141704    2.5030808746264144e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4335.569060903164    All      -0.0007299492982166147     0.0003593984144615949     -0.0006335948076064749     0.00032656196222675005     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6130.79306485945     All      -0.00017233010744980773    5.120364415284033e-05     -0.0009561166083443191     3.0145203993314767e-05     
MWEBV         All|All|All                              All                  All      -0.8617170056344765        -4.040598319543953        0.018524251931159096       -1.0346395737442697        
Redshift      All|All|All                              All                  All      6.983705068054007          -1.644756078762999        6.8273716669644715         -2.5058994229455616        
