#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g    4498.0699365544115    All      -1.1407484693862733        1.0121719180012256        0.37963084570786976       0.718218180211556         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i    7118.947810780203     All      0.9243299121868144         -0.11836444828956516      1.1998561701048809        -0.28609578670098074      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r    5822.540899587188     All      1.2164371311391386         0.10538228565826202       -1.5651775791051261       -0.4317538025466707       
Check         All|All|All                      All                   All      1.0000185739396796         0.9991897553699225        0.014309436707624412      0.00036859096390462476    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g    4498.0699365544115    All      -0.0003443431055858106     6.473159337056452e-05     -0.0014178979004381962    6.997481648089322e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i    7118.947810780203     All      -0.000529074188705546      7.321994060195452e-05     -0.0009695824646934175    0.00015291900053566852    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r    5822.540899587188     All      -0.00026477658918421714    -6.640442083391546e-07    -0.0005572715885010697    6.116167340430991e-05     
MWEBV         All|All|All                      All                   All      -0.7225082402790672        -3.802859160498162        0.09724138228460624       -0.9990321989726724       
Redshift      All|All|All                      All                   All      6.799683911873027          -0.3414354230386607       10.092429796495278        -1.8757187142644411       
