#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g    4498.0699365544115    All      -1.119396473830781         0.9887338794191791        0.45086117312241325       0.7068072749080556        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i    7118.947810780203     All      0.8853782197632228         -0.11198379659438373      1.126908279919453         -0.274584880133108        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r    5822.540899587188     All      1.2308119766616157         0.12292145938550547       -1.5746891723079859       -0.43114753546654866      
Check         All|All|All                      All                   All      0.9967937225940576         0.9996715422103009        0.003080280733880336      0.0010748593083989566     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g    4498.0699365544115    All      -0.00032007510216336464    8.327142279742033e-07     -0.0018023976831938878    2.4097502864422215e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i    7118.947810780203     All      -0.0005430349665153582     7.620018240762992e-05     -0.0009474571094983322    0.00015942460095169923    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r    5822.540899587188     All      -0.0003415701157467499     1.1461291103009361e-07    -0.0006145160505415725    8.387492825198193e-05     
MWEBV         All|All|All                      All                   All      -0.7234798198295929        -3.8023896802788393       0.09211625645853538       -0.9987915092229405       
Redshift      All|All|All                      All                   All      6.8636147951721185         -0.18431250144415046      9.43394419869907          -1.8747481893793148       
