#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8391.141279616128    All      0.33063487860045326        -0.09231677701677654      -0.00981398437216099       -0.13820722197922342       
Zeropoint     AB|PS|PS_g                4746.860554337458    All      -1.0936389019463781        1.1859728450399842        0.11225387690826844        0.7475539179553079         
Zeropoint     AB|PS|PS_r                6028.190659027958    All      1.135853497623173          0.01198631179128995       -0.6594893117596694        -0.39551049561659857       
Zeropoint     AB|PS|PS_i                7301.444453729532    All      0.6266691531982641         -0.10692558648992545      0.5610942727901306         -0.21391688088467156       
Check         All|All|All               All                  All      0.999518627475512          0.9987167933245722        0.004044853566568585       -8.068052518564461e-05     
Lambda        AB|PS|PS_z                8391.141279616128    All      0.0002748937662198494      -8.982251316652048e-05    -0.00014089131777378385    -0.00012508742342715905    
Lambda        AB|PS|PS_g                4746.860554337458    All      -0.0001366045838934527     -7.577571257876219e-05    -0.0006063962312097487     -7.246714124118913e-06     
Lambda        AB|PS|PS_r                6028.190659027958    All      -0.00016823712081442962    -3.816749408433178e-05    -0.0008122295073830243     6.1218841103008135e-06     
Lambda        AB|PS|PS_i                7301.444453729532    All      -0.00016406429735935988    -2.82212534947758e-05     -0.0009217987120189772     3.1129056410371935e-06     
MWEBV         All|All|All               All                  All      -0.6895176077177871        -4.014165092298327        0.05200499266269452        -1.0806263194090395        
Redshift      All|All|All               All                  All      4.459662599092341          1.5228200359095112        8.593467491293636          -0.5731392563112709        
