#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8391.141279616128    All      0.3174595363506436        -0.08354817249767166       0.04261011792032754        -0.12871990967206204       
Zeropoint     AB|PS|PS_g                4746.860554337458    All      -1.0961055865484666       1.1540457054996622         -0.10076483109606738       0.7284516319830514         
Zeropoint     AB|PS|PS_r                6028.190659027958    All      1.055394688502602         0.02688750295707365        -1.1304505577074409        -0.38546544363239343       
Zeropoint     AB|PS|PS_i                7301.444453729532    All      0.7241758360084847        -0.09700089723843064       1.218357852410712          -0.21311456269271917       
Check         All|All|All               All                  All      1.0009244743132637        1.0003841387206336         0.02975258152753124        0.0011517159858767667      
Lambda        AB|PS|PS_z                8391.141279616128    All      0.0002765015608590093     -8.850503119926838e-05     -0.00017756099989772083    -0.00012681838731083567    
Lambda        AB|PS|PS_g                4746.860554337458    All      -9.488904721714577e-05    -0.0001415260290694906     -0.0007831840461246861     -5.014110624476446e-05     
Lambda        AB|PS|PS_r                6028.190659027958    All      -0.0003025972342011069    -3.148735722941644e-05     -0.0006786258682210213     5.802545049687639e-05      
Lambda        AB|PS|PS_i                7301.444453729532    All      -0.0002752139484374931    -2.6741542417145342e-05    -0.0014973099067293915     1.4117572898508497e-05     
MWEBV         All|All|All               All                  All      -0.6784321402418612       -4.012670674274865         0.11965228768509029        -1.0807316516678003        
Redshift      All|All|All               All                  All      5.115374654729635         1.5476969106587468         7.561255539865641          -0.8246859072017249        
