#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4687.967850703259    All      -1.0073474794311903        1.0850941285934113        0.7705002890788348        0.7159609601395446        
Zeropoint     AB|PS|PS_z                8287.035209746102    All      0.32004593739389886        -0.07764124543223616      0.28033640358431366       -0.11702967281273097      
Zeropoint     AB|PS|PS_i                7210.857886167074    All      0.7324664849432351         -0.1417301211971811       0.8294400220325349        -0.24774049613093124      
Zeropoint     AB|PS|PS_r                5953.400923397704    All      0.9530280971294249         0.13173168585174366       -1.876048244008266        -0.3512426777546625       
Check         All|All|All               All                  All      0.998193040035369          0.9974544478157377        0.004228470687417385      -5.188655878018977e-05    
Lambda        AB|PS|PS_g                4687.967850703259    All      -0.0002723922810630576     -3.806390883645844e-05    -0.0013085952507889231    1.7931864126552657e-05    
Lambda        AB|PS|PS_z                8287.035209746102    All      0.00023092238945433377     -6.098049709228446e-05    4.7497808389954934e-05    -9.296276442905355e-05    
Lambda        AB|PS|PS_i                7210.857886167074    All      -0.00027918228906304195    4.499919415727412e-05     -0.0009125951938222038    6.487164223670168e-05     
Lambda        AB|PS|PS_r                5953.400923397704    All      -0.00016737590289499623    1.48770431129976e-05      -0.0008627269320464937    2.0866239842874324e-05    
MWEBV         All|All|All               All                  All      -0.6588885111893141        -3.954253748482728        0.17006975498448096       -1.0658194400197198       
Redshift      All|All|All               All                  All      6.831420675309384          0.03526925222976374       14.697582756993466        -1.5578444903490278       
