#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4687.967850703259    All      -1.0725868280105884        1.12133129333154          0.3323028120022643        0.7294604581714783         
Zeropoint     AB|PS|PS_z                8287.035209746102    All      0.33348568461881956        -0.08748090536006004      0.23764150378931023       -0.12651781887939548       
Zeropoint     AB|PS|PS_i                7210.857886167074    All      0.747241218492062          -0.15585226761878346      0.8505886747521513        -0.25620939337778526       
Zeropoint     AB|PS|PS_r                5953.400923397704    All      0.9907786489649595         0.11993709354696236       -1.4248087989591083       -0.3472444172232557        
Check         All|All|All               All                  All      0.9989187240652532         0.9979352138996589        -0.004275808415382443     -0.0005111713089581693     
Lambda        AB|PS|PS_g                4687.967850703259    All      -0.00031778893898478484    1.0185777747601905e-05    -0.0011405303183924242    5.593552544385166e-05      
Lambda        AB|PS|PS_z                8287.035209746102    All      0.00028013753377246077     -7.102786077631378e-05    0.00012663027859668096    -0.00010873519426092158    
Lambda        AB|PS|PS_i                7210.857886167074    All      -0.00036078563351491736    7.089546605961839e-05     -0.0015996588564244061    6.922730822292904e-05      
Lambda        AB|PS|PS_r                5953.400923397704    All      -0.0002095966683876633     2.7842246760249118e-06    -0.0012582597911355727    1.3029088494499919e-05     
MWEBV         All|All|All               All                  All      -0.6647096090060614        -3.95413660616617         0.149978711977108         -1.064781730820601         
Redshift      All|All|All               All                  All      7.559089303027852          -0.40188527296294296      21.37322055174293         -1.6393626581114051        
