#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6220.702887233433    All      1.1399182291118235         0.03549871002874738        0.03735227054844775        -0.3580789114064947        
Zeropoint     AB|SDSS|SDSS_r            5129.737155043957    All      0.8364199841049182         0.380412905389349          0.03628616271931294        -0.14691722293909554       
Zeropoint     AB|SDSS|SDSS_g            3925.715930928952    All      -1.066270777379479         0.5776150434368077         -0.1592767250863658        0.5283599053679006         
Zeropoint     AB|SDSS|SDSS_z            7395.897183509332    All      0.08820399707280427        0.005050862022137892       0.08599870340367334        -0.023247984587740432      
Check         All|All|All               All                  All      0.9982714329100666         0.998577520877042          0.000360411585068221       0.00011578643456992138     
Lambda        AB|SDSS|SDSS_i            6220.702887233433    All      -0.0002035668918561393     -2.0342475840216208e-05    -0.0001379384241260752     5.3526661860146844e-05     
Lambda        AB|SDSS|SDSS_r            5129.737155043957    All      0.00020608334054581334     8.07059361130994e-05       -0.00040787478280203957    -5.9041123673157455e-05    
Lambda        AB|SDSS|SDSS_g            3925.715930928952    All      -0.0010899558117468632     0.00039195569653214634     -0.0016402579523128401     0.00040951015270754087     
Lambda        AB|SDSS|SDSS_z            7395.897183509332    All      -1.6942194877970896e-05    -3.5951337427689325e-07    -1.0461719756258712e-05    4.934666415989108e-06      
MWEBV         All|All|All               All                  All      -0.5698734443498865        -3.2066976980642536        0.10992957016048902        -0.8539947565480065        
Redshift      All|All|All               All                  All      4.726685869663673          0.40786946324686824        -3.2400219139757462        -1.5513678855477142        
