#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6220.702887233433    All      1.044794834470593          0.03579396733535134       0.07806420925211555       -0.3251811304455055        
Zeropoint     AB|SDSS|SDSS_r            5129.737155043957    All      0.8364881337567419         0.40132019324641277       -0.15241260338969553      -0.14854998930772556       
Zeropoint     AB|SDSS|SDSS_g            3925.715930928952    All      -0.9930574029825253        0.5573768603255758        -0.011060027391895932     0.5045338891059972         
Zeropoint     AB|SDSS|SDSS_z            7395.897183509332    All      0.11093267909969995        0.0041067192404042885     0.090475957677838         -0.030759203145743277      
Check         All|All|All               All                  All      0.9991582443445096         0.9985977401477442        0.005067536148362084      4.356620702282432e-05      
Lambda        AB|SDSS|SDSS_i            6220.702887233433    All      -0.0002572206880928086     7.885510943870133e-06     0.000307101290744873      0.00010005833090186526     
Lambda        AB|SDSS|SDSS_r            5129.737155043957    All      1.1539962985808485e-05     3.140504098116121e-05     -0.0007760347133807367    -2.8160155614921246e-05    
Lambda        AB|SDSS|SDSS_g            3925.715930928952    All      -0.0010421486966914729     0.00030730596671894926    -0.002138903592951001     0.00034411233588799183     
Lambda        AB|SDSS|SDSS_z            7395.897183509332    All      -2.2644100738931725e-05    -5.135517675247693e-06    -7.139779359653685e-05    2.5169659091069977e-06     
MWEBV         All|All|All               All                  All      -0.5708460375295665        -3.20273723388258         0.15137110857940117       -0.8505385519471126        
Redshift      All|All|All               All                  All      5.387589719553937          0.7814500402240299        -0.5993859883023811       -1.52711907482975          
