#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4158.210663935253    All      -0.42542834303969196       0.26838924296237465       0.25642419358602164        0.23744224772747607       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5901.860381354457    All      1.4077401580097697         -0.09914572007581057      -0.5944958238043567        -0.5173719237611653       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7161.768596024769    All      0.427556404399018          -0.033920897055139676     0.4530271110943987         -0.13010181994600165      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4477.145094512907    All      -0.9405663393437156        0.5749668697696109        -0.4325185740515484        0.47435770829585155       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5211.005262003062    All      0.5303596707859608         0.2873614097255839        0.3228736111085709         -0.0647441616737794       
Check         All|All|All                      All                  All      0.9996615508113412         0.9976509053266192        0.0053105179330860675      -0.0004179493576186438    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4158.210663935253    All      -0.00011128217694941658    7.254973240222371e-05     8.409242578691166e-05      6.363275950633459e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5901.860381354457    All      -0.00012223706258749262    -1.925482573667308e-05    -0.00039721268608968916    1.5818924708968116e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7161.768596024769    All      -0.00015470669764737287    1.0926135345298103e-05    -0.00018390852992318768    4.5745069834916695e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4477.145094512907    All      -0.0002401568457613722     8.968696340721841e-08     -0.0011416250465466136     2.7310717051431054e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5211.005262003062    All      0.00015326416374946626     6.976488956145543e-05     -0.0003609095278948915     -4.330419528000358e-05    
MWEBV         All|All|All                      All                  All      -0.8014572101776696        -3.8464263784023345       0.06305543574328475        -0.9890327601067866       
Redshift      All|All|All                      All                  All      4.217534306396941          0.20727017661954505       6.058241897424549          -1.035923449456102        
