#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4158.210663935253    All      -0.4213691363786496        0.26276914183664957        0.22407011449059322        0.2328455647884399         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5901.860381354457    All      1.3665876027163528         -0.08770889011984195       -0.41459014818885365       -0.49221346682021755       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7161.768596024769    All      0.4037745439463407         -0.042185444276210404      0.26564467861496244        -0.1334093378671991        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4477.145094512907    All      -0.9566099876981249        0.5568411755501046         -0.61035473968587          0.46574350616002125        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5211.005262003062    All      0.6077742781278386         0.3080530529855352         0.5430464942288937         -0.07339539264916775       
Check         All|All|All                      All                  All      1.0001573007137579         0.997769035976237          0.007816399459725787       -0.0004291263881232299     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4158.210663935253    All      -0.0001188066254232857     7.708247855900986e-05      8.887048956131967e-05      6.777340750885875e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5901.860381354457    All      -1.8133110754157023e-05    -2.3632820912384253e-05    -0.00017073310528534238    -9.41047087371959e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7161.768596024769    All      -0.00014074041673617797    1.4233568622163645e-05     -0.00010793764958999148    4.5663363962382015e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4477.145094512907    All      -0.0002595214003232236     -4.044620930456897e-05     -0.001632200503452181      -1.477614968825474e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5211.005262003062    All      9.301524465853063e-05      8.891091580961797e-05      -0.0004445008248884904     -2.1172945230826007e-05    
MWEBV         All|All|All                      All                  All      -0.804783966109563         -3.8479215456600713        0.04637259641220304        -0.9891806299159728        
Redshift      All|All|All                      All                  All      3.5008411879483967         0.0023760193572641697      1.754241512939081          -1.0612814597128595        
