#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6137.060494116651     All      1.1825302402971425         -0.15287038807514364       -0.11924443996536109       -0.44030524972232593       
Zeropoint     AB|CNIa02|SDSS_i                      7442.2584980478505    All      0.4002345409057138         -0.07700205010667815       0.0337509590456168         -0.15394550802056758       
Zeropoint     AB|CNIa02|SDSS_g                      4696.606360647341     All      -0.7335811799035514        0.7097822308187229         0.13073642605610303        0.4759851143622021         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5442.942114866368     All      0.8197586335800695         0.19720225547956716        0.2609570590130035         -0.19114177883248237       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4350.690024698046     All      -0.6703231964446041        0.3202612378066405         -0.3061436482865004        0.30900415453941177        
Check         All|All|All                           All                   All      0.9986190384347702         0.9973732859231088         5.635586286178995e-05      -0.0004032676737619756     
Lambda        AB|CNIa02|SDSS_r                      6137.060494116651     All      -3.290310900801857e-05     -2.882529178211281e-05     -0.0003433570481921984     -1.3994168852255842e-05    
Lambda        AB|CNIa02|SDSS_i                      7442.2584980478505    All      1.215467183613797e-06      -2.512115531298992e-05     -0.00019635715671211345    -1.7341222464548294e-05    
Lambda        AB|CNIa02|SDSS_g                      4696.606360647341     All      -0.00024109282033329277    -8.775152441510621e-05     -0.0006989547203743533     1.875716587195444e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5442.942114866368     All      6.490061056240289e-05      -2.8807446307746467e-05    -0.000515520312554032      -5.3529100876238354e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4350.690024698046     All      -0.00026465899800377356    8.797990565961694e-05      -0.0002917991423417499     0.00010184443686077223     
MWEBV         All|All|All                           All                   All      -0.8970845493012582        -4.080434153257961         -0.001607713999900527      -1.0369934399917555        
Redshift      All|All|All                           All                   All      5.236641691519851          0.5160797509548232         1.8555942666237237         -1.4548356762337387        
