#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6137.060494116651     All      1.2028954948334234         -0.2191777119431748       -0.05275361129214451      -0.4655701796493883        
Zeropoint     AB|CNIa02|SDSS_i                      7442.2584980478505    All      0.5772732996348834         -0.20388228339163206      0.051101895760863325      -0.2521676297417841        
Zeropoint     AB|CNIa02|SDSS_g                      4696.606360647341     All      -0.43473533976975604       0.5018083042704902        -0.06334408973042716      0.3022363204388201         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5442.942114866368     All      0.2965857368666158         0.4991517864525008        0.13384931988356663       0.07195550697391973        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4350.690024698046     All      -0.6438458701990806        0.41854908107001876       -0.06698288453503287      0.34306784888853414        
Check         All|All|All                           All                   All      0.998173321366086          0.9964491764582029        0.00187063008682542       -0.00047813308989841374    
Lambda        AB|CNIa02|SDSS_r                      6137.060494116651     All      0.0010120523827236551      -0.0002615984052931975    -0.0006654383915199348    -0.0004445654226889523     
Lambda        AB|CNIa02|SDSS_i                      7442.2584980478505    All      8.659605749683838e-05      -8.525216534785442e-05    -0.0003748708579481624    -7.270538448976907e-05     
Lambda        AB|CNIa02|SDSS_g                      4696.606360647341     All      -0.00048092623815165856    0.0005211709672027123     -9.25862889748641e-05     0.0003222843269592229      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5442.942114866368     All      8.847820805578513e-05      0.00041886632351860475    -0.000489516712931031     8.577339602321446e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4350.690024698046     All      -0.001192921617016941      0.0007724358003493902     -0.0002283481270701393    0.000629991441028574       
MWEBV         All|All|All                           All                   All      -0.8631840142782878        -4.103265606358164        0.014701346157280915      -1.054745116500433         
Redshift      All|All|All                           All                   All      4.40686673184256           -6.102666692116099        1.137653181382331         -3.3725325531300587        
