#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3172.811430747725    All      -0.3460872776796167        0.08016237920234204        0.2123014046121535         0.14831757306639212       
Zeropoint     AB|MEGACAMPSF|r           4051.34464634462     All      -1.074021887933292         0.3695498536524511         -0.8165058677545421        0.43378190153204266       
Zeropoint     AB|MEGACAMPSF|i           4954.588843997233    All      1.6165192873685583         0.5046791493890979         0.4998413018589984         -0.33985728978005786      
Zeropoint     AB|MEGACAMPSF|z           5712.019324188417    All      0.7922169106158328         0.045821626532038806       0.11447391059770148        -0.23801705483124067      
Check         All|All|All               All                  All      0.9886270323714822         1.0002130087759298         0.010110749314311246       0.0042251299871362835     
Lambda        AB|MEGACAMPSF|g           3172.811430747725    All      -0.000925564621454706      0.00020304044362394686     0.00042791731247540356     0.00038671978400253525    
Lambda        AB|MEGACAMPSF|r           4051.34464634462     All      -0.0006123786501524139     0.0002250779390589289      -0.00038060156825205207    0.00025580266265824486    
Lambda        AB|MEGACAMPSF|i           4954.588843997233    All      -0.0001137161905397931     -0.00010415486878670247    -0.0012347296469773124     -5.198587618332287e-05    
Lambda        AB|MEGACAMPSF|z           5712.019324188417    All      -0.00014537951316919296    -1.3448245663733792e-05    -0.0001682905730709514     3.5464318890794404e-05    
MWEBV         All|All|All               All                  All      -0.33289768685597454       -2.2144182634139753        0.19423525830290003        -0.604205324485506        
Redshift      All|All|All               All                  All      4.510917938694795          0.7448678545634024         3.29757676781119           -1.0795707058440585       
