#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3172.811430747725    All      -0.2731731700432585        0.07551630935846987       0.29723263188822235        0.12684376220534685       
Zeropoint     AB|MEGACAMPSF|r           4051.34464634462     All      -1.0948064859839208        0.4043535071156512        -0.5338400335797688        0.46450290179125203       
Zeropoint     AB|MEGACAMPSF|i           4954.588843997233    All      1.5196017856042645         0.48887544880322764       0.3355292287112177         -0.3207683493379805       
Zeropoint     AB|MEGACAMPSF|z           5712.019324188417    All      0.8373315687923186         0.03157316936750476       -0.08158118216422539       -0.2661026128277892       
Check         All|All|All               All                  All      0.9889536983694039         1.0003184346448535        0.01734064485544584        0.004475701830829182      
Lambda        AB|MEGACAMPSF|g           3172.811430747725    All      -0.0006438809715930206     0.0001970283034178989     0.0009028128815059133      0.00031420020839649173    
Lambda        AB|MEGACAMPSF|r           4051.34464634462     All      -0.0005210089206742693     0.00018920018321866682    -0.0002295982374279675     0.00022109255549358458    
Lambda        AB|MEGACAMPSF|i           4954.588843997233    All      -0.00018127799720373086    -0.0001390621724472585    -0.001487813939028208      -5.264321983400396e-05    
Lambda        AB|MEGACAMPSF|z           5712.019324188417    All      -0.00018726579178095457    -1.558455968037974e-05    -0.00018717273382758931    4.7569565982473966e-05    
MWEBV         All|All|All               All                  All      -0.32566713957022686       -2.21777215314809         0.16491897834833846        -0.6089612747700784       
Redshift      All|All|All               All                  All      4.321396035608231          0.9588975779127651        3.323900284403858          -0.9469459670137258       
