#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4330.352357690181    All      -0.14219972085365462       0.059836663297341275       -0.07137158563288448       0.06262491104862891        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5234.116875820007    All      -0.21361781625315296       0.1509920519653818         -0.9435715590535576        0.07665816437400566        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5237.160752167167    All      -0.5480407538229869        0.6910213313715108         1.767123171728202          0.48246187613070407        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6192.131811722338    All      0.41861622214994204        -0.22521392436565257       -0.007535950132830926      -0.21005295494586074       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7670.706095442369    All      0.6797983197060355         -0.16322348005419762       -0.4048253214115727        -0.2926654295744686        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7996.870737614885    All      0.5900136481930598         -0.511824076860945         -0.4492319342162654        -0.3789519544109554        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6190.932543771996    All      0.4249935989055484         0.7607651640854307         0.8554304731790419         0.14754577850339123        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4298.103580693522    All      -0.3083060075256158        0.3229201298069029         -0.6528469899474088        0.17647755690870479        
Check         All|All|All                       All                  All      0.9012574904991754         1.0852738592457722         0.09317030451272412        0.06409794803414989        
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4330.352357690181    All      -0.00028343856764689835    0.00012519577838457187     -7.629245564748079e-05     0.00012970106827614507     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5234.116875820007    All      -0.0002511470599718953     -3.3913530495955106e-05    -0.0018555559785264307     -1.2044833740124054e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5237.160752167167    All      -0.000681409809671974      0.0008577497696017172      0.0017020633542066323      0.0005773101820195439      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6192.131811722338    All      0.00011032116556265091     -0.00017958645691577304    9.096184393926206e-05      -9.037324099633389e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7670.706095442369    All      -0.0002515816836144121     0.00017409259004159874     0.00012561803369845554     0.00014426187109859912     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7996.870737614885    All      1.4146279278855931e-05     -3.382323482917663e-05     -0.00011889228621759526    -2.0930865576496127e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6190.932543771996    All      0.00012071048925047791     -0.000227304965688804      -0.00014974557988675874    -0.0001200425405158853     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4298.103580693522    All      -0.0004608756873453251     0.0004396610549568608      -0.0013214755798564232     0.00023436305793545794     
MWEBV         All|All|All                       All                  All      -0.6369240598713883        -4.124591443180936         -0.05718327962931369       -1.138599834729239         
Redshift      All|All|All                       All                  All      7.134709210522239          -1.1086718359458736        7.799594647142838          -2.337080319156203         
