#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4330.352357690181    All      -0.18633956776255223       0.04263277562337464        0.8562815741884954         0.11279573910415334        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5234.116875820007    All      -0.4124262833063193        0.34207190364368145        -2.9236328695862066        0.11529657453312392        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5237.160752167167    All      0.3817107202601849         0.03099135533277675        2.2699980112869484         -0.012941249961269125      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6192.131811722338    All      0.3772476734144303         -0.12302611558103749       -2.0747825481203983        -0.2555436475856555        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7670.706095442369    All      0.1846892279926411         0.12450471529836804        0.598151749250275          0.007088689561242554       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7996.870737614885    All      0.4408051704428865         -0.44303756813635076       -0.43764012394251944       -0.30742652624083466       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6190.932543771996    All      0.9444369594690394         0.34261325995839087        2.4746925795209234         -0.08559961437012441       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4298.103580693522    All      -0.712199752492037         0.6622285128252692         -0.7187206033178816        0.41562330379894347        
Check         All|All|All                       All                  All      1.0179241480182735         0.9789788389644727         0.04434776927963646        -0.010706731160420424      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4330.352357690181    All      -0.00013425962539057108    2.9257669983345076e-05     0.0006147572554217401      8.069675549403731e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5234.116875820007    All      -0.0005490345043187106     0.00040564380908515393     -0.003881895284359159      0.00013773897701845593     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5237.160752167167    All      0.00016788982211779193     6.155922008139767e-05      0.0009024750105137925      5.637939545275358e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6192.131811722338    All      -4.391195805885068e-05     -1.6188903438958272e-05    0.00021947431790195088     1.8824441749986866e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7670.706095442369    All      -6.12074262003663e-05      -4.082835520329924e-05     -0.00019550748224847245    -2.0864671240956584e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7996.870737614885    All      2.3874950561378568e-05     -3.0473282685783254e-05    -4.7693767393341315e-05    -1.983136136157967e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6190.932543771996    All      -0.00023652466668141727    -3.284152008232285e-05     -0.0006675613560892989     3.6556104499954554e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4298.103580693522    All      -0.000695398641094112      0.0006501475512433606      -0.0007196821435443184     0.00040617255331332284     
MWEBV         All|All|All                       All                  All      -0.7381891379076002        -4.053733870538245         0.001756935712717824       -1.079903593628014         
Redshift      All|All|All                       All                  All      8.831715802915797          -1.8522177588436328        16.531659253923408         -2.7423766267009526        
