#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7147.805106754248     All      0.06368519062796085        -0.00024946103369671846    0.00541492929100329       -0.02058397600937789      
Zeropoint     AB|SDSS|SDSS_g            3794.0295386104817    All      -1.0714454420870085        0.49271863093149904        -0.07950735492976424      0.5059516499651889        
Zeropoint     AB|SDSS|SDSS_i            6012.032179694232     All      1.2444222002075713         0.09738087997313016        -0.22942893129176412      -0.38386745401348954      
Zeropoint     AB|SDSS|SDSS_r            4957.662407055275     All      0.760881785498104          0.40917936019670975        0.30525244597925383       -0.100939035896494        
Check         All|All|All               All                   All      0.9975437342466276         0.9990294100676422         0.0017310890487287622     0.0005611840458275008     
Lambda        AB|SDSS|SDSS_z            7147.805106754248     All      -3.453083258356742e-05     -2.0533976940869814e-06    -3.097736660583973e-05    9.196591421654852e-06     
Lambda        AB|SDSS|SDSS_g            3794.0295386104817    All      -0.0015252014491114914     0.0004059850337176662      -0.002020053445081142     0.0005389052641215118     
Lambda        AB|SDSS|SDSS_i            6012.032179694232     All      -0.00038078540400994916    -5.0137890389870515e-05    -0.0003265632238388221    9.312975633685994e-05     
Lambda        AB|SDSS|SDSS_r            4957.662407055275     All      -0.000271705303372593      -0.00015719543122964623    -0.001793190823924608     -4.272223802434023e-05    
MWEBV         All|All|All               All                   All      -0.5484463510052562        -3.0406300832209965        0.14114820849382426       -0.805487435717292        
Redshift      All|All|All               All                   All      5.694910642380648          1.2138390288313872         9.65752303556422          -1.02866154973191         
