#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4516.2551467918765    All      -0.9688208945442123        0.9026176211142101         0.3832498532684525        0.626691773796808         
Zeropoint     AB|PS|PS_r                5735.337446304578     All      0.6280239095152493         0.4076973090054281         -2.001782569693744        -0.1610979845465356       
Zeropoint     AB|PS|PS_z                7983.494471287142     All      0.3783270121450791         -0.07394995776657254       0.6320754912652937        -0.11911486241312913      
Zeropoint     AB|PS|PS_i                6946.735787938795     All      0.965562622609755          -0.24268606387405356       1.038764439918305         -0.34721106130781787      
Check         All|All|All               All                   All      1.0030926497258712         0.9936789084790121         0.05230721475830702       -0.0007321344706746058    
Lambda        AB|PS|PS_g                4516.2551467918765    All      -0.00013140970642628845    -1.4704161202286391e-05    -0.0005936980087697232    1.1520820202785007e-05    
Lambda        AB|PS|PS_r                5735.337446304578     All      -0.0002511739709636806     -7.503658161101107e-05     -0.0007509074394964715    2.3864192228551426e-05    
Lambda        AB|PS|PS_z                7983.494471287142     All      3.5355954802542114e-05     6.248564819618266e-05      0.0011849974315238053     6.171802655127098e-05     
Lambda        AB|PS|PS_i                6946.735787938795     All      -0.0008570625012498156     0.00011841486185476439     -0.0018943876514571135    0.000233207249138422      
MWEBV         All|All|All               All                   All      -0.6290980446466237        -3.7666142255575075        0.09184899675467317       -1.0178934424610728       
Redshift      All|All|All               All                   All      5.372338495325873          -0.03391735784088468       11.385433317968351        -1.2529157943339067       
