#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4516.2551467918765    All      -0.8877575907011053        0.8943895948743119         0.7465765064600314        0.6138202498242481        
Zeropoint     AB|PS|PS_r                5735.337446304578     All      0.43712757955153225        0.4349950468947483         -2.052387830090489        -0.09228327862514038      
Zeropoint     AB|PS|PS_z                7983.494471287142     All      0.3814497553730895         -0.11093760020166599       0.6040793761513977        -0.13342947265212182      
Zeropoint     AB|PS|PS_i                6946.735787938795     All      1.065615006166335          -0.2186076951643301        0.7013117911830458        -0.38701725926338365      
Check         All|All|All               All                   All      0.9964347503898513         0.9998393464030642         -0.000420156296014329     0.0010902392836022456     
Lambda        AB|PS|PS_g                4516.2551467918765    All      -0.00021700224813609847    7.60041074528726e-05       -0.0003867330441042017    7.818369008035682e-05     
Lambda        AB|PS|PS_r                5735.337446304578     All      -0.00015760079020670525    -5.3873929517555974e-05    -0.0005475533368104044    9.352460438476825e-06     
Lambda        AB|PS|PS_z                7983.494471287142     All      -0.00010507656012874255    3.504527730500837e-05      0.0004256240570819928     6.463593917067881e-05     
Lambda        AB|PS|PS_i                6946.735787938795     All      -0.0009605834324136879     0.00014897313886075688     -0.0017395026567488905    0.00028379306426705106    
MWEBV         All|All|All               All                   All      -0.6095372799761889        -3.775422898691083         0.16853867221326507       -1.0237119936878427       
Redshift      All|All|All               All                   All      5.757743462116448          -0.4848719417777758        10.375444015732437        -1.5704167992634788       
